A     | AC    | C
5-15  | 35-50 | 75-90
2.81  | 0.36  | 0.07
1.63  | 0.21  | 0.04
0.187 | ---   | ---
9     | ---   | ---
23.9  | 20.2  | 14.3
26.0  | 25.1  | 22.0
50.1  | 54.7  | 63.7
100.0 | 100.0 | 100.0
---   | ---   | ---
-     | -     | -
44.5  | 48.8  | 56.0
5.5   | 5.9   | 7.7
0.1   | ---   | ---
---   | ---   | ---
---   | ---   | ---
0.0   | 0.0   | 0.0
20.3  | 16.8  | 13.3
---   | ---   | ---
---   | ---   | ---
6.2   | 6.4   | 6.9
6.7   | 7.2   | 7.5
---   | ---   | ---
10.5  | 7.7   | 7.3
2.3   | 3.4   | 3.5
0.5   | 0.3   | 0.3
3.5   | 2.5   | 1.1
6.9   | 3.9   | 2.4
2.7   | 2.1   | 2.5
18.4  | 14.4  | 11.8
16.8  | 13.9  | 12.2
91    | 97    | 103
