E     | Bt1   | Bt2   | BC     | C
0-18  | 18-35 | 35-66 | 66-103 | 103
1.38  | 0.41  | 0.29  | 0.21   | ---
0.80  | 0.24  | 0.17  | 0.12   | ---
0.090 | 0.060 | 0.040 | ---    | ---
9     | 4     | 4     | ---    | ---
9.6   | 24.2  | 19.3  | 12.5   | 11.9
36.0  | 27.9  | 27.4  | 27.9   | 25.0
54.4  | 49.7  | 53.5  | 59.7   | 61.4
100.0 | 101.8 | 100.2 | 100.1  | 98.3
---   | ---   | ---   | ---    | ---
-     | -     | -     | -      | -
32.2  | 35.0  | 30.9  | 41.7   | 41.4
21.4  | 14.2  | 22.1  | 17.4   | 19.1
0.4   | 0.3   | 0.3   | 0.3    | 0.4
0.4   | 0.2   | 0.2   | 0.3    | 0.5
0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.00  | 1.00  | 0.60  | 0.00   | 0.30
14.7  | 25.8  | 20.7  | 16.6   | 16.3
---   | ---   | ---   | ---    | ---
---   | ---   | ---   | ---    | ---
6.1   | 8.5   | 8.9   | 9.0    | 9.0
6.3   | 9.1   | 9.4   | 9.4    | 9.4
---   | ---   | ---   | ---    | ---
3.9   | ---   | ---   | 3.7    | ---
2.4   | ---   | ---   | 0.8    | ---
0.7   | 8.5   | 10.1  | 8.5    | 9.4
1.0   | 2.3   | 2.3   | 1.7    | 2.0
1.8   | ---   | ---   | ---    | ---
7.0   | 51.5  | 66.0  | 57.8   | 72.3
10.0  | 16.5  | 15.3  | 14.7   | 13.0
8.0   | ---   | ---   | 14.7   | ---
80    | ---   | ---   | 100    | ---
