Ap    | BA    | Bt1   | Bt2   | BC    | C      | Ck
0-19  | 19-26 | 26-47 | 47-66 | 66-94 | 94-138 | +138
3.28  | 2.24  | 1.21  | 0.69  | 0.34  | 0.28   | 0.10
1.90  | 1.30  | 0.70  | 0.40  | 0.20  | 0.16   | 0.06
0.18  | 0.12  | 0.09  | 0.07  | 0.05  | 0.04   | ---
11    | 11    | 8     | 6     | 4     | 4      | ---
25.1  | 27.1  | 34.5  | 32.1  | 25.2  | 19.3   | 16.3
68.9  | 60.3  | 58.4  | 62.7  | 63.1  | 71.2   | 66.4
6.0   | 12.6  | 7.1   | 5.2   | 11.7  | 9.5    | 12.4
100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0  | 95.1
---   | ---   | ---   | ---   | ---   | ---    | ---
-     | -     | -     | -     | -     | -      | -
5.4   | 12.0  | 6.4   | 4.7   | 11.1  | 8.7    | 11.3
0.6   | 0.6   | 0.7   | 0.5   | 0.6   | 0.8    | 1.1
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | ---   | 0.0   | 0.0   | 0.0    | 4.9
28.1  | 29.1  | 30.3  | 29.8  | 27.4  | 25.6   | 23.7
---   | ---   | ---   | ---   | ---   | ---    | ---
---   | ---   | ---   | ---   | ---   | ---    | ---
6.0   | 6.4   | 6.5   | 6.5   | 6.9   | 7.0    | 7.8
6.4   | 7.0   | 6.9   | 7.1   | 7.3   | 7.7    | 8.3
---   | ---   | ---   | ---   | ---   | ---    | ---
10.4  | 11.6  | 14.0  | 15.3  | 13.7  | 13.1   | ---
4.3   | 4.4   | 5.2   | 5.4   | 4.9   | 5.2    | ---
0.2   | 0.3   | 0.3   | 0.3   | 0.4   | 0.4    | 0.3
2.6   | 2.1   | 2.1   | 2.3   | 2.4   | 2.5    | 2.7
6.9   | 6.2   | 5.8   | 5.0   | 3.8   | 2.7    | ---
1.0   | 1.5   | 1.2   | 1.2   | 2.0   | 1.9    | 1.8
19.3  | 20.4  | 24.4  | 24.7  | 20.4  | 21.4   | 16.5
17.5  | 18.4  | 21.6  | 23.3  | 21.4  | 21.2   | ---
91    | 90    | 89    | 94    | 105   | 99     | ---
