A     | E     | Bt    | BC    | C
0-23  | 23-34 | 34-52 | 52-75 | 75
2.41  | 0.69  | 0.52  | 0.19  | ---
1.40  | 0.40  | 0.30  | 0.11  | ---
0.170 | 0.060 | 0.050 | ---   | ---
8     | 7     | 6     | ---   | ---
11.7  | 6.2   | 18.9  | 11.5  | 9.2
30.7  | 28.5  | 23.6  | 22.6  | 22.7
55.7  | 64.3  | 56.0  | 64.5  | 66.6
98.1  | 99.0  | 98.5  | 98.6  | 98.5
---   | ---   | ---   | ---   | ---
-     | -     | -     | -     | -
39.3  | 50.7  | 38.6  | 51.5  | 51.6
16.3  | 13.6  | 17.4  | 12.9  | 14.9
0.1   | 0.0   | 0.0   | 0.1   | 0.1
0.1   | 0.0   | 0.0   | 0.1   | 0.1
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.00  | 0.00  | 0.00  | 0.00  | 0.00
18.5  | 13.3  | 22.6  | 19.6  | 14.7
---   | ---   | ---   | ---   | ---
---   | ---   | ---   | ---   | ---
5.7   | 7.1   | 7.2   | 7.4   | 7.4
5.8   | 7.2   | 7.5   | 7.7   | 7.9
---   | ---   | ---   | ---   | ---
5.7   | 3.3   | 7.4   | 5.9   | 3.2
1.2   | 2.2   | 1.3   | 1.7   | 0.7
0.2   | 0.7   | 2.4   | 2.3   | 3.8
0.9   | 1.5   | 0.7   | 1.5   | 1.5
3.1   | 0.8   | ---   | ---   | ---
1.8   | 8.1   | 20.3  | 22.1  | 41.3
11.3  | 8.6   | 11.8  | 10.4  | 9.2
8.0   | 7.7   | 11.8  | 11.4  | 9.2
71    | 90    | 100   | 110   | 100
