A     | Btn   | BCn   | C      | Ck
0-20  | 20-43 | 43-69 | 69-131 | 131
1.98  | 0.53  | 0.22  | 0.14   | 0.10
1.15  | 0.31  | 0.13  | 0.08   | 0.06
0.134 | 0.058 | ---   | ---    | ---
9     | 5     | ---   | ---    | ---
14.5  | 22.0  | 12.7  | 10.4   | 9.5
31.7  | 26.4  | 26.7  | 26.9   | 25.3
53.6  | 50.4  | 58.5  | 61.0   | 63.4
99.8  | 98.8  | 97.9  | 98.3   | 98.2
---   | ---   | ---   | ---    | ---
-     | -     | -     | -      | -
38.9  | 36.8  | 40.8  | 43.9   | 39.8
14.7  | 12.9  | 17.7  | 16.8   | 22.9
0.0   | 0.1   | 0.0   | 0.1    | 0.1
0.0   | 0.4   | 0.0   | 0.2    | 0.5
0.0   | 0.2   | 0.0   | 0.0    | 0.1
0.00  | 0.37  | 1.67  | 0.29   | 0.49
19.7  | 24.2  | 19.5  | 16.0   | 15.3
---   | ---   | ---   | ---    | ---
---   | ---   | ---   | ---    | ---
6.5   | 8.5   | 9.4   | 9.8    | 10.0
6.7   | 9.1   | 9.8   | 10.0   | 10.2
---   | ---   | ---   | ---    | ---
7.3   | ---   | ---   | ---    | ---
2.7   | ---   | ---   | ---    | ---
0.4   | 4.8   | 8.7   | 9.5    | 11.0
2.2   | 2.6   | 2.4   | 2.0    | 2.1
0.7   | ---   | ---   | ---    | ---
3.0   | 22.4  | 55.1  | 67.4   | 80.9
13.5  | 21.4  | 15.8  | 14.1   | 13.6
12.6  | ---   | ---   | ---    | ---
93    | ---   | ---   | ---    | ---
