Ap    | BA    | Bt1   | Bt2   | BCx   | C     | Ck
5     | 22    | 35    | 64    | 85    | 130   | 168
3.14  | 1.62  | 1.02  | 0.66  | 0.47  | 0.36  | 0.33
1.82  | 0.94  | 0.59  | 0.38  | 0.27  | 0.21  | 0.19
0.164 | 0.097 | 0.072 | 0.057 | 0.04  | 0.03  | 0.03
11    | 10    | 8     | 7     | 8     | 7     | 7
22.9  | 24.8  | 31.7  | 28.2  | 20.5  | 12.6  | 8.8
61.5  | 61.4  | 57.3  | 60.4  | 64.0  | 71.4  | 69.9
11.0  | 13.8  | 10.8  | 11.4  | 15.5  | 16.0  | 21.3
95.5  | 100.0 | 99.8  | 100.0 | 100.0 | 100.0 | 100.0
---   | ---   | ---   | ---   | ---   | ---   | ---
-     | -     | -     | -     | -     | -     | -
9.8   | 12.2  | 9.7   | 9.4   | 13.7  | 14.3  | 18.7
1.2   | 1.6   | 1.1   | 2.0   | 1.8   | 1.7   | 2.6
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.5   | 0.9   | 4.5
25.9  | 25.4  | 30.7  | 30.7  | 24.0  | 21.3  | 19.5
---   | ---   | ---   | ---   | ---   | ---   | ---
---   | ---   | ---   | ---   | ---   | ---   | ---
5.3   | 5.8   | 5.8   | 6.4   | 7.6   | 8.0   | 8.1
5.2   | 5.1   | 5.3   | 5.4   | 6.2   | 7.0   | 7.6
---   | ---   | ---   | ---   | ---   | ---   | ---
10.4  | 10.3  | 13.0  | 11.6  | ---   | ---   | ---
2.7   | 2.9   | 5.4   | 6.0   | ---   | ---   | ---
0.3   | 0.4   | 0.5   | 1.4   | 5.1   | 4.5   | 4.0
2.1   | 1.3   | 1.4   | 1.7   | 2.4   | 1.9   | 2.3
4.9   | 4.0   | 3.0   | 2.1   | ---   | ---   | ---
1.5   | 2.1   | 2.1   | 6.1   | 26.8  | 28.3  | 25.8
20.4  | 19.0  | 23.8  | 23.1  | 19.0  | 15.9  | 15.5
15.5  | 14.9  | 20.3  | 20.7  | ---   | ---   | ---
76    | 78    | 85    | 90    | ---   | ---   | ---
