E1    | E2    | Bt1   | Bt2    | BC
0-15  | 15-28 | 28-76 | 76-122 | 122-135
4.09  | 1.43  | 1.00  | 0.40   | 0.22
2.37  | 0.83  | 0.58  | 0.23   | 0.13
0.187 | 0.065 | 0.068 | 0.041  | 0.033
13    | 13    | 9     | 6      | 4
37.1  | 35.0  | 68.8  | 51.5   | 48.9
61.1  | 61.8  | 30.4  | 47.0   | 48.7
1.8   | 3.2   | 0.8   | 1.5    | 2.4
100.0 | 100.0 | 100.0 | 100.0  | 100.0
44.1  | 46.1  | 24.3  | 39.2   | 39.7
-     | -     | -     | -      | -
1.4   | 1.4   | 0.4   | 0.7    | 1.0
0.4   | 1.8   | 0.4   | 0.8    | 1.4
0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.00  | 0.00  | 0.00  | 0.00   | 0.00
---   | ---   | ---   | ---    | ---
4743  | 5807  | 1256  | 1355   | 1306
---   | ---   | ---   | ---    | ---
5.9   | 6.5   | 6.7   | 7.5    | 7.7
5.9   | 6.5   | 7.3   | 7.8    | 7.9
4.7   | 5.0   | 5.5   | 5.8    | 5.8
10.8  | 9.6   | 21.1  | 20.1   | 17.1
0.6   | 0.2   | 5.7   | 5.8    | 5.8
0.7   | 0.8   | 1.3   | 1.7    | 1.8
1.1   | 0.8   | 1.7   | 1.9    | 1.9
5.3   | 3.5   | 1.8   | 0.9    | 0.9
3.7   | 5.3   | 4.1   | 5.7    | 6.6
18.8  | 15.0  | 31.6  | 30.0   | 27.4
13.2  | 11.4  | 29.8  | 29.5   | 26.6
70    | 76    | 94    | 98     | 97
