Ap    | AC    | C1    | C2    | 2Bt1  | 2Bt2
0-17  | 17-38 | 38-52 | 52-68 | 68-95 | 95-115
----- | ----- | ----- | ----- | ----- | -----
----- | ----- | ----- | ----- | ----- | -----
----- | ----- | ----- | ----- | ----- | -----
----- | ----- | ----- | ----- | ----- | -----
12.6  | 17.9  | 17.3  | 16.0  | 33.1  | 33.0
33.5  | 34.7  | 35.1  | 35.7  | 32.2  | 31.2
53.9  | 47.4  | 48.7  | 47.0  | 34.7  | 35.8
100.0 | 99.9  | 101.0 | 98.7  | 100.0 | 100.0
13.8  | 15.9  | 16.0  | 15.9  | 15.2  | 14.6
-     | -     | -     | -     | -     | -
14.8  | 12.3  | 12.8  | 12.7  | 11.1  | 10.2
37.0  | 32.7  | 33.0  | 32.7  | 22.2  | 24.3
2.0   | 2.3   | 2.8   | 1.6   | 1.3   | 1.3
0.1   | 0.1   | 0.1   | 0.1   | 0.1   | 0.1
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
----- | ----- | ----- | ----- | ----- | -----
----- | ----- | ----- | ----- | ----- | -----
5120  | ----- | ----- | ----- | 2119  | -----
----- | ----- | ----- | ----- | ----- | -----
6.6   | ----- | ----- | ----- | 6.0   | -----
6.3   | ----- | ----- | ----- | 6.4   | -----
5.9   | ----- | ----- | ----- | 5.2   | -----
3.4   | ----- | ----- | ----- | 9.1   | -----
0.8   | ----- | ----- | ----- | 2.0   | -----
0.3   | ----- | ----- | ----- | 0.3   | -----
0.7   | ----- | ----- | ----- | 0.7   | -----
----- | ----- | ----- | ----- | ----- | -----
2.3   | ----- | ----- | ----- | 1.4   | -----
12.8  | ----  | ----  | ----  | 21.6  | ----
5.2   | ----  | ----  | ----  | 12.1  | ----
41    | ----- | ----- | ----- | 56    | -----
