A     | E     | Bt1   | Bt2    | BC      | C       | Ck
0-18  | 18-25 | 25-63 | 63-104 | 104-121 | 121-142 | 142-170
3.36  | 1.88  | 1.21  | 0.47   | 0.22    | 0.21    | 0.17
1.95  | 1.09  | 0.70  | 0.27   | 0.13    | 0.12    | 0.10
0.146 | 0.076 | 0.074 | 0.041  | 0.03    | 0.03    | 0.02
13    | 14    | 9     | 7      | 4       | 5       | 5
32.5  | 29.0  | 44.5  | 35.2   | 27.3    | 24.8    | 26.7
65.5  | 68.3  | 53.8  | 62.1   | 67.5    | 69.3    | 66.9
2.0   | 2.7   | 1.7   | 2.7    | 5.2     | 5.9     | 6.4
100.0 | 100.0 | 100.0 | 100.0  | 100.0   | 100.0   | 100.0
41.2  | 44.4  | 36.5  | 43.2   | 45.1    | 47.9    | 41.8
-     | -     | -     | -      | -       | -       | -
1.6   | 2.1   | 1.0   | 2.2    | 3.9     | 4.2     | 4.2
0.4   | 0.6   | 0.4   | 0.5    | 1.2     | 1.6     | 2.2
0.0   | 0.0   | 0.3   | 0.0    | 0.1     | 0.1     | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 4.7
---   | ---   | ---   | ---    | ---     | ---     | ---
>1000 | >1000 | >1000 | >1000  | >1000   | >1000   | 1432
---   | ---   | ---   | ---    | ---     | ---     | ---
5.9   | 6.2   | 6.5   | 7.3    | 7.3     | 7.5     | 8.7
6.1   | 6.4   | 6.9   | 7.7    | 7.7     | 7.8     | 9.0
5.0   | 5.0   | 5.1   | 5.6    | 5.5     | 5.6     | 7.4
13.5  | 11.3  | 18.1  | 15.9   | 15.4    | 16.3    | 10.5
3.3   | 2.3   | 5.5   | 5.7    | 4.7     | 3.9     | 5.4
0.7   | 0.9   | 1.2   | 1.9    | 2.3     | 2.4     | 4.0
1.7   | 1.2   | 2.8   | 2.9    | 2.8     | 2.7     | 3.0
4.3   | 2.6   | 2.7   | 0.9    | 0.9     | 0.9     | 0.0
3.1   | 5.2   | 4.0   | 7.2    | 9.0     | 9.2     | 18.3
22.9  | 17.2  | 30.2  | 26.5   | 25.5    | 26.0    | 21.9
19.2  | 15.7  | 27.6  | 26.4   | 25.2    | 25.3    | 22.9
84    | 91    | 91    | 100    | 99      | 97      | 105
