E     | 2Bt1  | 2Bt2
0-22  | 22-45 | 45a+
2.6   | 1.13  | -
1.51  | 0.66  | -
0.149 | 0.085 | -
10    | 8     | -
9.5   | 28    | 32
66.5  | 49    | 15.9
23.44 | 16.68 | 51
99.44 | 93.68 | 98.9
----- | ----- | -----
-     | -     | -
----- | ----- | -----
----- | ----- | -----
----- | ----- | -----
----- | ----- | -----
----- | ----- | -----
----- | ----- | -----
----- | ----- | -----
298   | 315   | 372
20.2  | 6.2   | 4.4
-     | -     | -
7.1   | 7.8   | 7.6
-     | -     | -
10.6  | 10.8  | 15.4
2.2   | 3.0   | 2.0
5.2   | 8.7   | 7.0
0.5   | 0.7   | 0.5
-     | -     | -
26.8  | 36.7  | 29.1
19.4  | 23.7  | 24
18.5  | 23.2  | 24.9
95    | 98    | 100
