A1    | A2    | BA    | Bt1   | Bt2     | BC      | C
3-12  | 18-25 | 30-38 | 45-80 | 100-130 | 150-175 | 190-210
3.28  | 1.95  | 1.38  | 0.88  | 0.33    | 0.21    | 0.16
1.90  | 1.13  | 0.80  | 0.51  | 0.19    | 0.12    | 0.09
0.223 | 0.122 | 0.087 | 0.073 | 0.04    | 0.03    | ---
9     | 9     | 9     | 7     | 4       | 4       | ---
23.7  | 26.3  | 28.6  | 50.7  | 33.1    | 19.8    | 18.4
74.1  | 71.3  | 68.4  | 47.1  | 63.6    | 76.9    | 77.6
2.2   | 2.4   | 3.0   | 2.2   | 3.3     | 3.3     | 4.0
100.0 | 100.0 | 100.0 | 100.0 | 100.0   | 100.0   | 100.0
---   | ---   | ---   | ---   | ---     | ---     | ---
-     | -     | -     | -     | -       | -       | -
1.8   | 2.1   | 2.7   | 1.9   | 3.0     | 2.5     | 3.4
0.4   | 0.3   | 0.3   | 0.3   | 0.3     | 0.8     | 0.6
---   | ---   | ---   | ---   | ---     | ---     | ---
---   | ---   | ---   | ---   | ---     | ---     | ---
---   | ---   | ---   | ---   | ---     | ---     | ---
---   | ---   | ---   | ---   | ---     | ---     | ---
27.9  | 26.9  | 26.8  | 41.6  | 31.6    | 28.7    | 27.0
---   | ---   | ---   | ---   | ---     | ---     | ---
---   | ---   | ---   | ---   | ---     | ---     | ---
5.4   | 6.0   | 5.9   | 6.0   | 6.1     | 6.3     | 7.4
5.9   | 6.5   | 6.5   | 6.7   | 6.9     | 7.1     | 8.1
---   | ---   | ---   | ---   | ---     | ---     | ---
13.4  | 11.5  | 10.4  | 17.0  | 15.3    | 15.3    | ---
2.5   | 2.3   | 3.5   | 7.9   | 6.6     | 5.9     | ---
0.3   | 0.2   | 0.2   | 0.2   | 0.2     | 0.4     | 0.5
2.9   | 3.0   | 2.7   | 4.3   | 2.8     | 2.5     | 2.4
---   | ---   | ---   | ---   | ---     | ---     | ---
1.4   | 1.0   | 1.1   | 0.6   | 0.8     | 1.6     | 2.2
21.9  | 19.2  | 18.6  | 32.2  | 26.4    | 25.0    | 22.9
19.1  | 17.0  | 16.8  | 29.4  | 24.9    | 24.1    | ---
87    | 89    | 90    | 91    | 94      | 96      | ---
