A     | EB    | Bt1   | Bt2    | BC      | C       | Ck
0-25  | 25-38 | 38-77 | 77-112 | 112-152 | 152-186 | 186-255
3.12  | 1.57  | 0.64  | 0.29   | 0.21    | 0.17    | 0.17
1.81  | 0.91  | 0.37  | 0.17   | 0.12    | 0.10    | 0.10
0.132 | 0.062 | 0.047 | 0.033  | 0.03    | 0.02    | 0.01
14    | 15    | 8     | 5      | 5       | 4       | 10
30.7  | 31.9  | 44.2  | 40.9   | 25.2    | 26.5    | 22.7
66.9  | 62.9  | 53.9  | 55.9   | 67.9    | 61.4    | 59.1
2.4   | 5.2   | 1.9   | 3.2    | 6.9     | 12.1    | 18.2
100.0 | 100.0 | 100.0 | 100.0  | 100.0   | 100.0   | 100.0
27.9  | 25.6  | 35.3  | 37.3   | 45.8    | 39.6    | 37.1
-     | -     | -     | -      | -       | -       | -
1.9   | 4.6   | 1.4   | 2.2    | 4.1     | 8.0     | 5.4
0.5   | 0.6   | 0.5   | 1.0    | 2.4     | 3.6     | 6.3
0.0   | 0.0   | 0.0   | 0.0    | 0.4     | 0.5     | 6.5
0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.4     | 5.4
---   | ---   | ---   | ---    | ---     | ---     | ---
1420  | 1512  | 1490  | 1210   | 827     | 785     | 661
---   | ---   | ---   | ---    | 2.1     | 1.6     | 2.6
6.1   | 6.2   | 7.5   | 7.9    | 7.9     | 8.2     | 8.4
6.2   | 6.4   | 7.7   | 8.2    | 8.2     | 8.6     | 8.8
5.0   | 5.2   | 6.0   | 6.3    | 6.3     | 7.2     | 7.3
10.8  | 11.0  | 18.2  | 18.0   | 18.1    | 18.5    | 19.8
1.7   | 1.7   | 3.9   | 5.2    | 3.8     | 3.4     | 4.6
0.6   | 0.7   | 1.8   | 2.4    | 2.7     | 3.2     | 4.4
1.6   | 1.1   | 2.3   | 2.8    | 2.7     | 2.6     | 2.5
3.8   | 2.3   | 0.8   | 0.0    | 0.0     | 0.0     | 0.0
3.2   | 4.1   | 6.7   | 8.6    | 10.0    | 12.1    | 14.5
18.5  | 17.0  | 26.7  | 27.8   | 26.9    | 26.5    | 30.3
14.7  | 14.5  | 26.2  | 28.4   | 27.3    | 27.7    | 31.3
79    | 85    | 98    | 102    | 101     | 105     | 103
