A     | E     | Bt    | BC    | C
5-10  | 20-25 | 35-55 | 70-80 | 95-110
1.76  | 0.43  | 0.53  | ---   | ---
1.02  | 0.25  | 0.31  | ---   | ---
0.107 | ---   | 0.053 | ---   | ---
10    | ---   | 6     | ---   | ---
15.3  | 9.8   | 34.8  | 19.6  | 17.7
29.5  | 29.3  | 19.2  | 23.2  | 20.6
55.2  | 60.9  | 46.0  | 57.2  | 61.7
100.0 | 100.0 | 100.0 | 100.0 | 100.0
---   | ---   | ---   | ---   | ---
-     | -     | -     | -     | -
52.0  | 58.6  | 44.0  | 52.9  | 57.4
3.1   | 2.2   | 1.9   | 4.2   | 4.2
0.1   | 0.1   | 0.1   | 0.1   | 0.1
---   | ---   | ---   | ---   | ---
---   | ---   | ---   | ---   | ---
0.00  | 0.00  | vest. | vest. | vest.
15.6  | 12.0  | 29.8  | 17.0  | 17.1
---   | ---   | ---   | ---   | ---
---   | ---   | ---   | ---   | ---
5.4   | 6.6   | 7.5   | 7.6   | 8.1
6.0   | 7.1   | 8.1   | 8.4   | 8.9
---   | ---   | ---   | ---   | ---
5.6   | 4.7   | ---   | ---   | ---
2.8   | 1.6   | ---   | ---   | ---
0.4   | 0.3   | 0.5   | 0.7   | 2.0
2.2   | 2.0   | 3.1   | 3.1   | 3.1
4.1   | 2.0   | ---   | ---   | ---
3.7   | 3.9   | 2.2   | 4.3   | 13.6
10.7  | 7.7   | 22.5  | 16.3  | 14.7
11.0  | 8.6   | ---   | ---   | ---
103   | 112   | ---   | ---   | ---
