--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a|2|3a|3ac|3c
HORIZONTE->Profundidad de la muestra (cm): 0-21|21-40|40-59|59-78|78 a +
HORIZONTE->Materia Orgánica (%): 2,1|1,4|||
HORIZONTE->Carbono Orgánico (%): 1,2|0,8|||
HORIZONTE->Nitrógeno total (%): 0,16||||
HORIZONTE->Relación C/N: 7,5||||
HORIZONTE->Arcilla, <2 μ (%): 13,5|12,5|15,6|12,9|10,0
HORIZONTE->Limo, 2-50 μ (%): 57,9|57,5|59,9|54,7|57,3
HORIZONTE->Arena muy fina, 50-100 μ (%): 26,7|25,4|23,8|27,7|31,1
HORIZONTE->Arena fina, 100-250 μ (%): 1,3|1,2|2,4|1,6|1,4
HORIZONTE->Arena media, 250-500 μ (%): 0,1|0,1|0,4|0,2|0,1
HORIZONTE->Arena gruesa, 500-1000 μ (%): 0,2|0,1|0,7|0,2|0,1
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 0,1|0|0,2|0,1|0,1
HORIZONTE->Carbonatos, CaCO3 (%): 0|0|0|0|0
HORIZONTE->Equivalente de humedad (%): 16,5|17,1|20,3|18,3|16,8
HORIZONTE->pH en pasta: 6,6|7,6|7,7|7,9|7,9
HORIZONTE->pH en agua (1:2,5): 6,9|7,9|8,0|8,1|8,2
HORIZONTE->Ca++: 13,8|14,3|16,2|14,4|11,7
HORIZONTE->Mg++: 0,9|0,7|0,2|1,1|1,1
HORIZONTE->Na+: 0,3|0,3|0,3|0,3|0,3
HORIZONTE->K+: 1,5|1,6|1,3|1,3|1,4
HORIZONTE->H+: 0,8||||
HORIZONTE->Sodio de intercambio, % (PSI): ||||
HORIZONTE->Suma de bases, meq/100 gr (S): 16,5|16,9|18,0|17,1|14,5
HORIZONTE->Capacidad de intercambio catiónico, meq/100 gr (T): 17,3|16,9|18,0|17,1|14,5
HORIZONTE->Saturación con bases, % (S/T): 95,4|100|100|100|100
