--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a|ac|c|ck
HORIZONTE->Profundidad de la muestra (cm): 0-25|25-40|40-92|92 a +
HORIZONTE->Materia Orgánica (%): 2,06|0,86|-|-
HORIZONTE->Carbono Orgánico (%): 1,2|0,5|-|-
HORIZONTE->Nitrógeno total (%): 0,08||-|-
HORIZONTE->Relación C/N: 12,5||-|-
HORIZONTE->Arcilla, <2 μ (%): 9,0|7,8|5,1|4,0
HORIZONTE->Limo, 2-50 μ (%): 51,9|51,7|50,2|50,9
HORIZONTE->Arena muy fina, 50-100 μ (%): 38,0|38,3|43,5|35,7
HORIZONTE->Arena fina, 100-250 μ (%): 3,2|3,3|2,1|7,8
HORIZONTE->Arena media, 250-500 μ (%): 0,1|0,0|0,0|0,0
HORIZONTE->Arena gruesa, 500-1000 μ (%): 0,4|0,1|0,0|0,1
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 0,0|0,0|0,0|0,0
HORIZONTE->Carbonatos, CaCO3 (%): 0,0|0,0|0,0|3,8
HORIZONTE->Equivalente de humedad (%): 15,2|12,7|12,4|6,6
HORIZONTE->pH en pasta: 6,4|6,8|7,2|8,4
HORIZONTE->pH en agua (1:2,5): 6,7|7,0|7,4|8,6
HORIZONTE->Ca++: 8,2|8,5|8,8|
HORIZONTE->Mg++: 1,2|0,9|1,7|
HORIZONTE->Na+: 0,3|0,2|0,2|0,2
HORIZONTE->K+: 2,1|1,8|1,4|0,9
HORIZONTE->H+: 1,4|1,1|0,7|
HORIZONTE->Suma de bases, meq/100 gr (S): 11,8|11,4|12,1|-
HORIZONTE->Capacidad de intercambio catiónico, meq/100 gr (T): 13,2|12,5|12,8|7,9
HORIZONTE->Saturación con bases, % (S/T): 89,4|91,2|94,5|-
