monte_ralo.txt ->> ID............................: 234
monte_ralo.txt ->> CLASIFICACION.................: Argiustol tipico
monte_ralo.txt ->> SERIE.........................: MONTE RALO (MRl)
monte_ralo.txt ->> UBICACION.....................: a 8 km al NO de la localidad de Corralito, departamento Calamuchita, provincia de Cordoba.
monte_ralo.txt ->> PROVINCIA.....................: CORDOBA
monte_ralo.txt ->> LATITUD.......................: S315500
monte_ralo.txt ->> LONGITUD......................: O641400
monte_ralo.txt ->> ALTITUD.......................: 495 m.s.n.m.
monte_ralo.txt ->> PENDIENTE.....................: FALTA!
monte_ralo.txt ->> DRENAJE.......................: FALTA!
monte_ralo.txt ->> ESCURRIMIENTO.................: FALTA!
monte_ralo.txt ->> PERMEABILIDAD.................: FALTA!
monte_ralo.txt ->> TIPO DE SUELO.................: fina, mixta, termica
monte_ralo.txt ->> COLOR ........................: color en humedo pardo grisaceo muy oscuro (10YR3/2)
monte_ralo.txt ->> HORIZONTE->PROFUNDIDADES(CM)..: A       |Bt      |Bt2     |BC      |
monte_ralo.txt ->> HORIZONTE->PROFUNDIDADES(CM)..: 0-21    |21-50   |50-70   |70 a +  |
monte_ralo.txt ->> HORIZONTE->MATERIA ORGÁN.(%)..: 3,10    |2,93    |2,24    |1,72    |
monte_ralo.txt ->> HORIZONTE->CARBONO ORGÁN.(%)..: 1,8     |1,7     |1,3     |1,0     |
monte_ralo.txt ->> HORIZONTE->NITRÓGENO TOT.(%)..:         |        |        |        |
monte_ralo.txt ->> HORIZONTE->RELACIÓN C/N.......:         |        |        |        |
monte_ralo.txt ->> HORIZONTE->ARCILLA <2 u (%)...: 26,8    |40,0    |43,8    |37,2    |
monte_ralo.txt ->> HORIZONTE->LIMO 2-50 (%)......: 70,1    |57,9    |54,0    |57,7    |
monte_ralo.txt ->> HORIZONTE->AMF 50-100 (%).....: 3,0     |2,1     |2,1     |5,0     |
monte_ralo.txt ->> HORIZONTE->AF 100-250 (%).....: 0,7     |0,3     |0,4     |0,6     |
monte_ralo.txt ->> HORIZONTE->AM 250-500 (%).....:         |        |        |        |
monte_ralo.txt ->> HORIZONTE->AG 500-1000 (%)....:         |        |        |0,2     |
monte_ralo.txt ->> HORIZONTE->AMG 1-2 mm (%).....:         |        |        |        |
monte_ralo.txt ->> HORIZONTE->CALCAREO CaCO3(%)..:         |        |        |        |
monte_ralo.txt ->> HORIZONTE->EQUIV. HUMEDAD(%)..: 30,5    |35,9    |36,5    |34,5    |
monte_ralo.txt ->> HORIZONTE->PH PASTA...........: 6,2     |6,3     |6,9     |7,0     |
monte_ralo.txt ->> HORIZONTE->PH H2O 1:2,5.......: 6,6     |6,6     |7,3     |7,4     |
monte_ralo.txt ->> HORIZONTE->CI ME/100G-Ca ++...: 15,3    |16,2    |17,2    |15,7    |
monte_ralo.txt ->> HORIZONTE->CI ME/100G-Mg ++...: 3,0     |3,5     |5,7     |3,7     |
monte_ralo.txt ->> HORIZONTE->CI ME/100G-Na +....: 0,4     |0,4     |0,4     |0,4     |
monte_ralo.txt ->> HORIZONTE->CI ME/100G-K +.....: 1,6     |1,4     |1,9     |1,8     |
monte_ralo.txt ->> HORIZONTE->CI ME/100G-H +.....: 1,2     |1,2     |0,4     |0,2     |
monte_ralo.txt ->> HORIZONTE->NA CAMBIO % (PSI)..: 1,8     |1,7     |1,6     |1,8     |
monte_ralo.txt ->> HORIZONTE->SUM.B. ME/100G(S)..: 20,3    |21,5    |25,2    |21,6    |
monte_ralo.txt ->> HORIZONTE->CIC ME/100G(T).....: 21,7    |22,9    |25,8    |21,7    |
monte_ralo.txt ->> HORIZONTE->SAT.B % (S/T)......: 94      |94      |98      |99      |
