a     | ac    | c     | ck
0-30  | 30-62 | 62-98 | 98-139
2.50  | 1.28  | 0.78  | 0.40
1.45  | 0.74  | 0.45  | 0.23
0.126 | 0.081 | 0.056 | 0.038
12    | 9     | 8     | 6
36.8  | 33.7  | 20.9  | 22.2
59.7  | 61.0  | 65.3  | 67.7
100.0 | 100.0 | 100.0 | 100.0
36.5  | 38.3  | 38.6  | 44.2
2.6   | 3.6   | 8.0   | 6.9
0.9   | 1.7   | 5.8   | 3.2
0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 2.8
---   | ---   | ---   | ---
1350  | 1480  | 1440  | 1080
6.7   | 6.9   | 7.7   | 8.6
6.8   | 7.0   | 7.7   | 8.6
5.4   | 5.4   | 6.1   | 7.4
14.8  | 14.1  | 16.0  | 12.5
4.6   | 7.6   | 5.5   | 7.1
0.4   | 0.5   | 0.3   | 0.6
2.4   | 2.4   | 2.3   | 2.7
2.6   | 1.8   | 0.9   | 0.0
1.7   | 2.0   | 1.2   | 2.4
23.8  | 25.0  | 24.7  | 25.0
22.2  | 24.6  | 24.1  | 22.9
93    | 98    | 98    | 92
