a     | be    | bt1   | bt2    | bc
0-27  | 27-42 | 42-76 | 76-111 | +      de  111
2.57  | 1.53  | 0.91  | 0.29   | ---
1.49  | 0.89  | 0.53  | 0.17   | ---
0.108 | 0.067 | 0.062 | 0.039  | 0.026
14    | 13    | 9     | 4      | ---
30.1  | 34.0  | 63.9  | 38.5   | 34.9
63.8  | 60.5  | 33.3  | 56.9   | 58.6
100.0 | 100.0 | 100.0 | 100.0  | 100.0
38.0  | 34.3  | 21.4  | 37.4   | 36.8
3.8   | 3.3   | 1.7   | 2.8    | 3.9
2.0   | 1.9   | 1.0   | 1.6    | 2.4
0.3   | 0.3   | 0.1   | 0.2    | 0.2
0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0
---   | ---   | ---   | ---    | ---
---   | ---   | ---   | ---    | ---
3888  | 3767  | 1337  | 1458   | 1580
---   | ---   | ---   | ---    | ---
5.7   | 6.0   | 6.3   | 6.6    | 6.7
5.2   | 5.1   | 5.4   | 5.5    | 5.5
9.4   | 9.4   | 17.5  | 16.3   | 13.1
2.1   | 2.4   | 5.5   | 4.8    | 4.1
0.9   | 1.1   | 2.5   | 2.5    | 2.8
1.4   | 0.9   | 0.9   | 0.9    | 1.0
---   | ---   | ---   | ---    | ---
5.8   | 7.9   | 9.8   | 11.4   | 11.3
15.4  | 13.9  | 25.5  | 22.0   | 24.8
13.8  | 13.8  | 26.4  | 24.5   | 21.0
90    | 99    | 104   | 111    | 85
