a     | e     | bt1   | bt2   | bt3  | bc   | c
0     | 19    | 26    | 51    | 67   | 92   | 125
19    | 26    | 51    | 67    | 92   | 125  | 235
1.95  | 0.91  | 0.60  | 0.43  | 0.22 | 0.09 | 0.07
1.13  | 0.53  | 0.35  | 0.25  | 0.13 | 0.05 | 0.04
0.125 | 0.079 | 0.075 | 0.057 | 0.02 | 0.01 | 0.01
9     | 7     | 5     | 4     | 8    | 4    | 7
21.5  | 21.0  | 49.5  | 45.0  | 30.0 | 22.5 | 18.0
73.5  | 75.0  | 48.5  | 51.0  | 65.5 | 72.5 | 71.5
99.6  | 100.1 | 100.0 | 100.0 | 99.3 | 99.9 | 99.3
29.5  | 32.5  | 19.5  | 20.5  | 28   | 33.5 | 30.5
3.5   | 3.3   | 1.5   | 2.5   | 3.2  | 3.8  | 5.9
0.9   | 0.7   | 0.3   | 1.1   | 0.4  | 1.0  | 3.8
0.2   | 0.1   | 0.2   | 0.4   | 0.2  | 0.1  | 0.1
0.0   | 0.0   | 0.0   | 0.0   | 0.0  | 0.0  | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0  | 0.0  | 0.0
---   | ---   | ---   | ---   | ---  | ---  | ---
31.6  | 29.7  | 45.6  | 43.8  | 40.9 | 32.4 | 32.4
4965  | 8125  | 2121  | 1941  | 2257 | 2719 | 2184
5.8   | 6.0   | 6.6   | 6.3   | 7.4  | 7.5  | 7.2
6.1   | 6.2   | 7.5   | 7.0   | 7.8  | 7.9  | 7.8
5.1   | 4.6   | 4.9   | 4.7   | 5.0  | 5.0  | 5.1
8.6   | 5.8   | 18.8  | 18.2  | 15.8 | 12.4 | 12.0
1.6   | 1.8   | 2.2   | 2.0   | 2.2  | 2.2  | 2.0
1.6   | 1.8   | 2.4   | 2.4   | 2.4  | 2.4  | 3.8
1.5   | 1.0   | 2.7   | 2.5   | 2.7  | 2.5  | 2.7
2.1   | 2.0   | ---   | ---   | ---  | ---  | ---
10.0  | 12.2  | 9.2   | 9.2   | 9.9  | 12.0 | 18.4
16.0  | 14.7  | 26.2  | 26.0  | 24.2 | 20.0 | 20.6
13.3  | 10.4  | 26.1  | 25.1  | 23.1 | 19.5 | 20.5
83    | 71    | 100   | 97    | 95   | 98   | 100
