ap    | a     | b     | bc    | c
0     | 20    | 36    | 67    | 98
20    | 36    | 67    | 98    | 145
1.93  | 1.57  | 1.02  | 0.36  | 0.21
1.12  | 0.91  | 0.59  | 0.21  | 0.12
0.102 | 0.062 | 0.071 | 0.035 | ---
11    | 15    | 8     | 6     | ---
16.0  | 23.9  | 21.7  | 16.8  | 15.8
43.1  | 39.0  | 39.5  | 43.0  | 42.4
100.0 | 100.0 | 100.0 | 100.0 | 100.0
---   | ---   | ---   | ---   | ---
39.3  | 35.3  | 37.0  | 37.7  | 38.9
1.6   | 1.8   | 1.8   | 2.5   | 2.9
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
16.5  | 21.7  | 18.2  | 16.5  | 14.5
---   | ---   | ---   | ---   | ---
5.9   | 6.1   | 6.2   | 6.7   | 7.0
6.6   | 6.9   | 7.0   | 7.6   | 8.0
---   | ---   | ---   | ---   | ---
9.1   | 10.7  | 9.7   | 8.7   | 7.0
2.2   | 3.3   | 4.4   | 5.3   | 4.4
0.3   | 0.9   | 0.4   | 0.4   | 0.5
1.8   | 1.8   | 1.3   | 1.0   | 1.4
4.4   | 4.2   | 3.4   | 3.1   | 1.8
2.0   | 4.8   | 2.4   | 2.5   | 3.6
15.0  | 18.8  | 16.5  | 16.1  | 13.9
13.4  | 16.7  | 15.8  | 15.4  | 13.3
89    | 89    | 96    | 96    | 96
