a     | bt1   | bt2   | bc    | bcm
0-15  | 15-52 | 52-72 | 72-96 | +      96
4.05  | 1.67  | 0.83  | 0.59  | 0.59
2.35  | 0.97  | 0.48  | 0.34  | 0.34
0.185 | 0.102 | 0.068 | 0.067 | 0.062
13    | 10    | 7     | 5     | 5
28.0  | 37.2  | 34.5  | 32.5  | 28.6
70.0  | 61.9  | 65.2  | 59.4  | 68.1
99.9  | 100.7 | 100.8 | 98.9  | 100.1
---   | ---   | ---   | ---   | ---
1.7   | 1.1   | 0.6   | 5.0   | 2.2
0.2   | 0.5   | 0.5   | 2.0   | 1.2
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.00  | 0.60  | 0.00  | 0.00  | 0.20
38.2  | 47.6  | 43.4  | 44.8  | 40.1
---   | ---   | ---   | ---   | ---
6.9   | 7.7   | 7.7   | 7.7   | 7.6
7.0   | 8.1   | 8.1   | 8.2   | 8.3
---   | ---   | ---   | ---   | ---
13.4  | ---   | 17.8  | 18.7  | ---
3.8   | ---   | 3.9   | 2.5   | ---
2.1   | ---   | 4.1   | 3.2   | 2.7
2.3   | 1.4   | 2.9   | 3.0   | 2.1
1.6   | ---   | ---   | ---   | ---
9.2   | ---   | 14.3  | 12.3  | 12.6
22.9  | 33.6  | 28.7  | 26.0  | 21.4
21.6  | ---   | 28.7  | 27.4  | ---
94    | ---   | 100   | 105   | ---
-     | -     | -     | -     |
---   | ---   | ---   | 9.4   | 5.4
---   | ---   | ---   | 8.6   | 5.6
---   | ---   | ---   | 42.0  | 40.0
---   | ---   | ---   | 0.8   | 0.9
---   | ---   | ---   | 3.0   | 1.5
---   | ---   | ---   | 43.8  | 43.8
---   | ---   | ---   | 15.0  | 6.0
---   | ---   | ---   | 14    | 17
