a     | e     | bt1   | bt2   | bt3   | bc     | c
0-17  | 17-24 | 24-47 | 47-66 | 66-93 | 93-136 | +      136
2.17  | 1.67  | 1.48  | 0.55  | 0.29  | 0.03   | 0.03
1.26  | 0.97  | 0.86  | 0.32  | 0.17  | 0.02   | 0.02
0.129 | 0.101 | 0.107 | 0.065 | 0.05  | 0.03   | 0.014
10    | 10    | 8     | 5     | 4     | 1      | 1
22.5  | 22.0  | 48.5  | 46.0  | 35.0  | 35.0   | 27.5
74.0  | 74.5  | 49.5  | 52.0  | 62.0  | 62.0   | 68.0
99.7  | 99.9  | 99.6  | 99.5  | 101.1 | 101.3  | 101.9
31.5  | 30.5  | 24.0  | 24.0  | 27.5  | 26.0   | 30.5
2.7   | 2.6   | 1.1   | 1.3   | 2.1   | 2.0    | 3.7
0.5   | 0.8   | 0.5   | 0.2   | 2.0   | 2.3    | 2.7
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.7
27.5  | 25.2  | 64.9  | 56.1  | 38.4  | 35.3   | 31.3
2587  | 1821  | 934   | 266   | 379   | 748    | 869
6.1   | 6.7   | 7.3   | 7.6   | 7.9   | 8.1    | 7.5
6.2   | 7.1   | 7.6   | 8.1   | 8.4   | 8.4    | 8.1
4.4   | 4.9   | 5.7   | 6.1   | 6.4   | 6.2    | 5.9
9.0   | 8.0   | 8.0   | 10.6  | 10.0  | 4.6    | 5.0
0.6   | 1.2   | 8.0   | 4.8   | 4.0   | 8.6    | 5.4
2.1   | 2.8   | 11.7  | 9.6   | 9.3   | 8.7    | 4.9
1.3   | 0.9   | 1.8   | 1.8   | 1.8   | 1.8    | 1.7
1.9   | ---   | ---   | ---   | ---   | ---    | ---
13.1  | 18.9  | 39.0  | 35.0  | 36.6  | 36.9   | 23.8
16.0  | 14.8  | 30.0  | 27.4  | 25.4  | 23.6   | 20.6
13.0  | 12.9  | 29.5  | 26.8  | 25.1  | 23.7   | 17.0
81    | 87    | 98    | 98    | 99    | 100    | 83
      | -     | -     | -     | -     | -      |
-     | -     | -     | 4.0   | -     | -      |
-     | -     | -     | 1.2   | -     | -      |
-     | -     | -     | 50.0  | -     | -      |
-     | -     | -     | ---   | -     | -      |
-     | -     | -     | ---   | -     | -      |
-     | -     | -     | 35.8  | -     | -      |
-     | -     | -     | 12.0  | -     | -      |
-     | -     | -     | 31    | -     | -      |
