e     | 2bt1  | 2bt2  | 3bt3  | 3bcg
0-9   | 9-23  | 23-60 | 60-85 | 85-110
4.02  | 0.60  | 0.47  | 0.22  | 0.22
2.33  | 0.35  | 0.27  | 0.13  | 0.13
0.198 | 0.048 | 0.031 | 0.029 | 0.031
12    | 7     | 9     | 4     | 4
16.9  | 28.2  | 28.8  | 34.7  | -----
44.2  | 36.9  | 38.3  | 39.1  | -----
100.1 | 100.0 | 100.0 | 100.0 | 0.0
19.5  | 17.3  | 18.4  | 18.0  | -----
16.7  | 14.5  | 13.7  | 11.7  | -----
16.3  | 15.3  | 14.3  | 10.8  | -----
5.4   | 4.7   | 4.5   | 3.4   | -----
0.6   | 0.4   | 0.5   | 0.3   | -----
0.0   | 0.0   | 0.0   | 0.0   | -----
----- | ----- | ----- | ----- | -----
----- | ----- | ----- | ----- | -----
547   | 438   | 474   | 438   | 450
7.7   | 8.2   | 8.1   | 8.0   | 7.9
7.7   | 8.3   | 8.4   | 8.3   | 8.2
7.0   | 7.2   | 7.3   | 7.0   | 7.0
11.0  | 7.8   | 6.5   | 6.9   | 8.7
1.3   | 0.8   | 2.1   | 2.9   | 2.0
2.6   | 3.2   | 3.2   | 4.1   | 4.4
0.3   | 0.3   | 0.3   | 0.4   | 0.5
1.1   | 0.7   | 0.4   | 0.7   | 0.7
15.9  | 22.7  | 22.3  | 26.4  | 22.3
16.5  | 14.1  | 14.3  | 15.4  | 19.5
15.2  | 12.1  | 12.1  | 14.3  | 15.5
92    | 86    | 85    | 93    | 79
