e1    | e2    | bt1   | bt2    | bc      | c
0-31  | 31-58 | 58-92 | 92-135 | 135-171 | 171-205
3.17  | 1.45  | 0.60  | 0.26   | 0.26    | 0.10
1.84  | 0.84  | 0.35  | 0.15   | 0.15    | 0.06
0.127 | 0.061 | 0.046 | 0.032  | 0.03    | 0.03
14    | 14    | 8     | 5      | 5       | 2
34.5  | 34.1  | 44.3  | 52.6   | 43.6    | 45.5
62.9  | 62.9  | 53.5  | 45.7   | 53.8    | 51.8
100.0 | 100.0 | 100.0 | 100.0  | 100.0   | 100.0
43.9  | 43    | 34.2  | 31.6   | 35.2    | 32.8
2.0   | 2.4   | 1.7   | 1.3    | 1.9     | 1.9
0.6   | 0.6   | 0.5   | 0.4    | 0.7     | 0.8
0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
---   | ---   | ---   | ---    | ---     | ---
1386  | 1253  | 612   | 684    | 1290    | 1124
5.8   | 5.8   | 6.2   | 6.3    | 6.3     | 6.2
6.0   | 6.0   | 6.4   | 6.7    | 6.6     | 6.6
5.0   | 4.9   | 5.1   | 5.2    | 5.0     | 5.1
13.4  | 12.2  | 13.8  | 21.5   | 18.1    | 17.3
1.0   | 0.8   | 0.8   | 1.0    | 4.3     | 5.3
1.6   | 1.7   | 1.9   | 2.5    | 2.0     | 1.9
1.2   | 1.0   | 1.9   | 2.1    | 2.0     | 2.0
3.4   | 3.4   | 2.6   | 2.7    | 3.5     | 3.5
7.5   | 8.5   | 8.4   | 8.4    | 7.0     | 6.6
21.2  | 20.1  | 22.5  | 29.6   | 28.5    | 28.6
17.2  | 15.7  | 18.4  | 27.1   | 26.4    | 26.5
81    | 78    | 82    | 92     | 93      | 93
