e     | bt1   | bt2   | bc    | c
0-14  | 14-35 | 35-60 | 60-98 | 98-217
1.90  | 1.03  | 0.34  | 0.17  | 0.17
1.10  | 0.60  | 0.20  | 0.10  | 0.10
0.142 | 0.072 | 0.061 | 0.046 | 0.036
8     | 8     | 3     | 2     | 3
26.7  | 47.9  | 45.7  | 36.9  | 30.9
64.1  | 45.8  | 48.9  | 56.4  | 61.6
100.0 | 100.0 | 100.0 | 100.0 | 100.0
32.5  | 23.8  | 26.1  | 30.6  | 34.6
6.1   | 4.6   | 4.1   | 5.1   | 5.5
2.5   | 1.4   | 1.1   | 1.4   | 1.9
0.6   | 0.3   | 0.2   | 0.2   | 0.1
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
---   | ---   | ---   | ---   | ---
---   | ---   | ---   | ---   | ---
697   | 201   | 226   | 405   | 829
7.6   | 8.8   | 9.0   | 9.1   | 8.5
8.1   | 9.0   | 9.2   | 9.3   | 8.7
6.8   | 7.6   | 7.9   | 7.8   | 7.4
6.2   | 6.8   | 8.0   | 4.3   | 6.0
1.5   | 2.2   | 0.6   | 0.5   | 1.7
4.4   | 13.4  | 13.9  | 14.1  | 11.1
0.5   | 1.3   | 1.4   | 1.4   | 1.4
1.5   | 0.0   | 0.4   | 0.7   | 0.7
33.3  | 55.8  | 55.6  | 65.3  | 54.4
13.2  | 24.0  | 25.0  | 21.6  | 20.4
12.6  | 23.7  | 23.9  | 20.3  | 20.2
95    | 99    | 96    | 94    | 99
