e     | bt1   | bt2   | bt3   | bc
0-15  | 15-35 | 35-65 | 65-80 | más    de  80
3.79  | 0.93  | 0.88  | 0.48  | 0.36
2.2   | 0.54  | 0.51  | 0.28  | 0.21
0.181 | 0.064 | 0.106 | 0.046 | 0.04
12    | 8     | 5     | 6     | 5
28.5  | 42    | 39.1  | 37.6  | 21
44    | 33    | 35.5  | 39.7  | 37.2
100   | 100   | 100   | 100   | 100
24    | 19.6  | 21.4  | 24.9  | 21.5
15    | 13.2  | 13.1  | 12.2  | 11
10.4  | 9.6   | 10.1  | 8.4   | 8
2     | 1.9   | 2.1   | 1.9   | 1.8
0.1   | 0.2   | 0.2   | 0.3   | 0.2
----  | ----  | ----  | ----  | 0.05
-     | -     | -     | -     |
-     | -     | -     | -     |
673   | 336   | 324   | 348   | 424
6.0   | 7.0   | 7.2   | 6.9   | 7.0
5.9   | 7.7   | 7.0   | 6.9   | 7.0
5.6   | 6.0   | 6.4   | 5.9   | 5.9
11.91 | 16.17 | 15.87 | 12.34 | 13.19
1.19  | 1.85  | 1.53  | 1.17  | 1.55
0.89  | 1.22  | 1.50  | 1.17  | 1.28
0.44  | 0.79  | 0.79  | 0.50  | 0.57
-     | -     | -     | -     |
3.91  | 5.21  | 6.21  | 5.29  | 4.85
22.77 | 23.40 | 24.15 | 22.13 | 26.38
17.39 | 21.51 | 21.02 | 16.37 | 17.70
76    | 91    | 87    | 73    | 67
