a     | bt1   | bt2   | bc     | ck
0-16  | 16-45 | 45-75 | 75-125 | 175-200
1.90  | 1.21  | 0.52  | 0.34   | 0.17
1.10  | 0.70  | 0.30  | 0.20   | 0.10
0.153 | 0.136 | 0.114 | 0.083  | 0.070
7     | 5     | 3     | 2      | 1
22.5  | 39.5  | 34.0  | 30.0   | 22.0
74.5  | 58.0  | 62.5  | 65.0   | 71.5
99.7  | 99.7  | 99.6  | 99.4   | 99.4
32.0  | 26.0  | 28.0  | 28.0   | 30.0
1.6   | 1.1   | 2.1   | 1.7    | 1.7
0.8   | 0.9   | 0.8   | 2.4    | 3.8
0.3   | 0.2   | 0.2   | 0.3    | 0.4
0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0
---   | ---   | ---   | ---    | ---
---   | ---   | ---   | ---    | ---
2693  | 350   | 312   | 727    | 727
5.1   | 7.4   | 7.6   | 7.6    | 8.0
5.6   | 7.9   | 8.3   | 8.2    | 8.9
4.6   | 6.4   | 6.9   | 6.4    | 6.7
8.0   | 14.4  | 15.1  | 9.7    | 17.1
2.2   | 2.8   | 2.7   | 5.3    | 2.9
1.5   | 4.2   | 6.2   | 6.0    | 5.8
2.6   | 3.7   | 4.1   | 3.8    | 3.1
---   | ---   | ---   | ---    | ---
9.4   | 16.2  | 23.0  | 25.0   | 19.3
16.0  | 26.0  | 27.0  | 24.0   | 30.0
14.3  | 25.1  | 28.1  | 24.8   | 28.9
89    | 97    | 104   | 103    | 96
