ap    | b     | bc    | c
10    | 40    | 70    | 110
2.21  | 0.86  | 0.40  | ---
1.28  | 0.50  | 0.23  | ---
0.135 | 0.076 | ---   | ---
9     | 7     | ---   | ---
21.8  | 21.8  | 20.3  | 16.4
23.9  | 21.8  | 20.6  | 22.1
100.0 | 100.0 | 100.0 | 100.0
---   | ---   | ---   | ---
43.7  | 41.5  | 46.0  | 47.0
10.6  | 14.9  | 13.1  | 14.5
0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0
18.2  | 16.6  | 14.2  | 13.4
---   | ---   | ---   | ---
5.9   | 6.6   | 6.8   | 7.2
6.3   | 7.1   | 7.4   | 7.6
---   | ---   | ---   | ---
8.5   | 7.0   | 6.3   | 4.8
1.6   | 2.9   | 3.2   | 4.5
0.3   | 0.3   | 0.5   | 0.5
1.5   | 2.9   | 2.4   | 2.4
---   | ---   | ---   | ---
2.1   | 2.2   | 4.4   | 4.5
14.4  | 13.8  | 11.3  | 11.1
11.9  | 13.1  | 12.4  | 12.2
83    | 95    | 110   | 110
