a     | e     | bt    | bck   | c
0     | 23    | 35    | 80    | 125
3.48  | 0.84  | 0.69  | 0.38  | 0.16
2.02  | 0.49  | 0.40  | 0.22  | 0.09
0.197 | 0.061 | 0.054 | 0.034 | ---
10    | 8     | 7     | 6     | ---
24.4  | 16.3  | 34.1  | 23.0  | 14.9
66.6  | 75.3  | 58.3  | 66.7  | 67.3
100.0 | 100.0 | 100.0 | 100.0 | 100.0
---   | ---   | ---   | ---   | ---
8.2   | 7.7   | 7.0   | 9.1   | 15.8
0.8   | 0.7   | 0.6   | 1.2   | 2.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.00  | 0.00  | vest. | 0.40  | 0.20
32.7  | 27.4  | 50.6  | 41.2  | 29.5
---   | ---   | ---   | ---   | ---
5.9   | 7.5   | 8.6   | 8.8   | 8.8
5.8   | 7.9   | 8.8   | 9.1   | 9.0
---   | ---   | ---   | ---   | ---
11.1  | 7.2   | 9.2   | ---   | ---
2.4   | 2.2   | 4.5   | ---   | ---
1.3   | 3.0   | 12.3  | 12.8  | 7.8
1.3   | 0.9   | 3.0   | 3.2   | 3.0
7.2   | 1.6   | 3.0   | ---   | ---
6.2   | 22.1  | 42.4  | 44.6  | 37.3
20.9  | 13.6  | 29.0  | 28.7  | 20.9
16.1  | 13.3  | 29.0  | ---   | ---
77    | 98    | 100   | ---   | ---
