a     | be    | bt1   | bt2   | bt3    | bc      | c       |       ck
0-20  | 20-32 | 32-72 | 72-94 | 94-122 | 122-155 | 155-183 |       +      183
2.72  | 1.84  | 0.38  | 0.26  | 0.12   | 0.12    | ---     |       0.07
1.58  | 1.07  | 0.22  | 0.15  | 0.07   | 0.07    | No       Detecta |     0.04
0.136 | 0.092 | 0.019 | 0.013 | 0.006  | 0.006   | No       Detecta |     0.003
12    | 12    | 12    | 11    | 12     | 12      | -       |       13
29.81 | 33.75 | 44.37 | 28.90 | 30.77  | 25.32   | 17.84   |       13.40
67.87 | 63.67 | 54.05 | 68.00 | 66.26  | 70.74   | 68.13   |       66.43
100.0 | 100.0 | 100.0 | 100.0 | 100.0  | 100.0   | 100.0   |       100.0
---   | ---   | ---   | ---   | ---    | ---     | ---     |       ---
---   | ---   | ---   | ---   | ---    | ---     | ---     |       ---
---   | ---   | ---   | ---   | ---    | ---     | ---     |       ---
---   | ---   | ---   | ---   | ---    | ---     | ---     |       ---
---   | ---   | ---   | ---   | ---    | ---     | ---     |       ---
---   | ---   | ---   | ---   | ---    | ---     | ---     |       ---
---   | ---   | ---   | ---   | ---    | ---     | ---     |       ---
---   | ---   | ---   | ---   | ---    | ---     | ---     |       ---
---   | ---   | ---   | ---   | ---    | ---     | ---     |       ---
---   | ---   | ---   | ---   | ---    | ---     | ---     |       ---
6.4   | 6.3   | 6.8   | 6.9   | 7.1    | 7.1     | 7.5     |       8.3
---   | ---   | ---   | ---   | ---    | ---     | ---     |       ---
12.2  | 11.0  | 16.2  | 15.3  | 14.8   | 13.0    | 15.4    |       28.2
5.0   | 4.2   | 6.1   | 5.2   | 6.1    | 6.1     | 3.8     |       3.4
0.1   | 0.1   | 0.1   | 0.1   | 0.2    | 0.2     | 0.2     |       0.2
1.7   | 1.3   | 1.9   | 1.9   | 1.9    | 1.9     | 1.8     |       1.8
---   | ---   | ---   | ---   | ---    | ---     | ---     |       ---
0.6   | 0.5   | 0.4   | 0.5   | 0.8    | 1.3     | 0.9     |       0.9
18.0  | 18.2  | 23.8  | 22.0  | 23.8   | 15.3    | 23.1    |       22.3
19.0  | 16.5  | 24.2  | 22.5  | 23.0   | 21.2    | 21.3    |       33.7
105.6 | 90.8  | 101.8 | 102.2 | 96.4   | 138.7   | 92.0    |       151.3
