ap    | a1    | b     | bt1   | bt2   | bc    | c     | ck
0     | 13    | 28    | 36    | 62    | 78    | 115   | 235
13    | 28    | 36    | 62    | 78    | 115   | 235   | 275
3.05  | 3.05  | 1.72  | 0.76  | 0.57  | 0.40  | 0.22  | ---
1.77  | 1.77  | 1.00  | 0.44  | 0.33  | 0.23  | 0.13  | ---
0.172 | 0.173 | 0.115 | 0.040 | 0.038 | 0.03  | ---   | ---
10    | 10    | 9     | 11    | 9     | 8     | ---   | ---
22.9  | 23.7  | 25.5  | 35.5  | 27.8  | 16.9  | 14.4  | 12.3
49.8  | 46.8  | 48.3  | 39.0  | 42.0  | 43.8  | 46.6  | 52.3
100.4 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 97.9
---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
26.8  | 28.6  | 25.0  | 24.4  | 29.2  | 37.7  | 37.3  | 31.1
0.9   | 0.9   | 1.2   | 1.1   | 1.0   | 1.6   | 1.7   | 2.2
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 2.1
21.8  | 22.1  | 22.5  | 25.8  | 23.3  | 15.9  | 14.2  | 14.6
---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
5.9   | 5.9   | 6.0   | 6.0   | 6.1   | 6.3   | 6.7   | 8.0
6.0   | 6.0   | 6.7   | 6.9   | 6.7   | 7.1   | 7.2   | 8.4
---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
11.1  | 10.5  | 10.5  | 11.1  | 11.2  | 7.6   | 7.3   | ---
2.9   | 4.1   | 3.4   | 5.2   | 5.2   | 5.2   | 4.6   | ---
0.2   | 0.2   | 0.2   | 0.2   | 0.2   | 0.2   | 0.2   | 0.2
1.8   | 1.8   | 1.2   | 1.1   | 1.1   | 1.1   | 1.5   | 1.6
6.3   | 5.9   | 4.9   | 4.5   | 3.7   | 2.9   | 1.8   | ---
1.1   | 1.1   | 1.2   | 1.0   | 1.1   | 1.4   | 1.6   | 2.4
18.1  | 18.4  | 17.0  | 20.5  | 18.7  | 14.0  | 12.5  | 8.2
16.0  | 16.6  | 15.3  | 17.6  | 17.7  | 14.1  | 13.6  | ---
88    | 90    | 90    | 86    | 95    | 101   | 109   | ---
