e     | bt1   | bt2   | bt3   | bc    | c    | ck
0     | 17    | 44    | 69    | 115   | 155  | 210
2.41  | 1.90  | 0.86  | 0.52  | 0.34  | 0.17 | 0.17
1.40  | 1.10  | 0.50  | 0.30  | 0.20  | 0.10 | 0.1
0.111 | 0.103 | 0.053 | 0.036 | 0.03  | 0.02 | 0.018
13    | 11    | 9     | 8     | 8     | 5    | 6
20.0  | 50.0  | 43.0  | 25.9  | 22.1  | 10.5 | ---
67.5  | 43.5  | 51.6  | 66.3  | 71.2  | 68.8 | ---
100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 90.0 | ---
-     | -     | -     | -     | -     | -    |
8.0   | 4.2   | 3.5   | 5.4   | 4.9   | 7.8  | 7.5
3.7   | 1.9   | 1.6   | 2.0   | 1.5   | 2.5  | 4.9
0.8   | 0.4   | 0.3   | 0.4   | 0.3   | 0.4  | 0.8
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0  | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0  | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.02 | 2.6
---   | ---   | ---   | ---   | ---   | ---  | ---
2836  | 548   | 405   | 375   | 385   | 527  | 760
6.3   | 7.4   | 7.7   | 7.8   | 7.9   | 8.4  | 9.0
6.4   | 7.5   | 7.9   | 8.0   | 8.2   | 8.6  | 8.0
5.9   | 6.3   | 6.6   | 6.9   | 7.0   | 7.2  | 7.7
8.0   | 15.6  | 12.5  | 11.4  | 8.6   | 8.4  | 12.0
0.4   | 5.6   | 5.7   | 2.3   | 3.1   | 2.3  | 3.0
1.0   | 6.4   | 6.5   | 6.4   | 7.8   | 8.2  | 10.6
0.9   | 1.3   | 1.4   | 1.5   | 1.5   | 1.5  | 1.8
2.0   | 1.0   | 1.0   | 0.0   | 0.0   | 0.0  | 0.0
8.3   | 21.5  | 24.3  | 29.2  | 37.0  | 38.9 | 39.8
12.1  | 29.7  | 26.7  | 21.9  | 21.1  | 21.1 | 26.6
10.3  | 28.9  | 26.1  | 21.6  | 21.0  | 20.4 | 27.4
85    | 97    | 98    | 99    | 100   | 97   | 103
