e     | bt1   | bt2   | bc     | c
0-13  | 13-43 | 43-79 | 79-105 | 105-195
13    | 43    | 79    | 105    | 195
4.52  | 1.07  | 0.66  | 0.34   | 0.10
2.62  | 0.62  | 0.38  | 0.20   | 0.06
0.180 | 0.055 | 0.044 | 0.035  | 0.020
15    | 11    | 9     | 6      | 3
27.0  | 45.0  | 45.0  | 41.5   | 28.9
69.6  | 52.8  | 52.7  | 56.1   | 62.5
100.0 | 100.0 | 100.0 | 100.0  | 100.0
52.6  | 34.6  | 33.1  | 31.9   | 35.9
2.6   | 1.8   | 1.6   | 1.8    | 5.4
0.7   | 0.4   | 0.7   | 0.5    | 3.2
0.1   | 0.0   | 0.0   | 0.1    | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0
---   | ---   | ---   | ---    | ---
---   | ---   | ---   | ---    | ---
438   | 644   | 814   | 669    | 741
7.0   | 8.1   | 7.9   | 8.4    | 8.4
7.3   | 8.4   | 8.5   | 8.9    | 8.8
6.2   | 6.6   | 6.5   | 6.7    | 6.5
11.3  | 14.9  | 16.8  | 16.2   | 10.9
2.1   | 3.0   | 2.8   | 1.3    | 4.1
4.2   | 6.2   | 6.2   | 8.6    | 8.3
1.3   | 1.7   | 2.1   | 2.4    | 2.3
1.7   | 0.0   | 0.0   | 0.0    | 0.0
21.5  | 24.0  | 22.9  | 31.4   | 32.8
19.5  | 25.8  | 27.1  | 27.4   | 25.3
18.9  | 25.8  | 27.9  | 28.5   | 25.6
97    | 100   | 103   | 104    | 101
