a     | e     | bt    | bc   | ck
0     | 24    | 33    | 64   | 124
3.09  | 0.88  | 0.52  | 0.10 | 0.12
1.79  | 0.51  | 0.30  | 0.06 | 0.07
0.182 | 0.070 | 0.067 | ---  | ---
10    | 7     | 4     | ---  | ---
16.9  | 13.2  | 21.0  | 17.1 | 11.6
60.9  | 63.6  | 56.6  | 55.7 | 50.0
101.6 | 101.1 | 99.0  | 98.3 | 97.7
---   | ---   | ---   | ---  | ---
22.3  | 23.8  | 20.4  | 24.4 | 34.2
1.5   | 0.5   | 1.0   | 1.1  | 1.9
0.0   | 0.0   | 0.0   | 0.0  | 0.0
0.0   | 0.0   | 0.0   | 0.0  | 0.0
0.0   | 0.0   | 0.0   | 0.0  | 0.0
0.00  | 0.00  | 0.00  | 0.09 | 2.77
23.7  | 19.0  | 31.1  | 25.3 | 18.5
---   | ---   | ---   | ---  | ---
5.9   | 6.5   | 6.7   | 8.1  | 8.1
6.1   | 6.7   | 7.1   | 9.1  | 9.1
---   | ---   | ---   | ---  | ---
8.7   | 7.8   | 12.0  | ---  | ---
2.2   | 2.3   | 2.2   | ---  | ---
0.3   | 0.8   | 4.5   | 6.4  | ---
2.5   | 1.6   | 3.3   | 4.6  | ---
---   | ---   | ---   | ---  | ---
1.7   | 5.6   | 19.9  | 32.0 | ---
17.9  | 14.2  | 22.6  | 20.0 | 15.5
13.7  | 12.5  | 22.0  | ---  | ---
77    | 88    | 97    | ---  | ---
      | -     | -     | -    |
-     | -     | -     | 5.7  | 15.0
-     | -     | -     | 6.7  | 10.0
-     | -     | -     | 52.0 | 117.0
-     | -     | -     | 1.9  | 3.5
-     | -     | -     | 4.6  | 4.6
-     | -     | -     | 33.6 | 78.0
-     | -     | -     | 28.4 | 64.8
-     | -     | -     | 21   | 33
