ap   | 2bt1
0-24 | 24-46
-    |
-    |
-    |
-    |
22.1 | 41.8
56.6 | 42.8
100  | 100
-    |
-    |
-    |
-    |
-    |
-    |
-    |
-    |
-    |
-    |
5.7  | 7.6
-    |
8.1  | 21.3
1.9  | 2.9
0.7  | 1.0
0.3  | 1.7
1.7  | 6.9
-    |
14.9 | 25.2
-    |
-    |
