a1    | eb    | bt1   | bt2   | bc
0     | 17    | 25    | 53    | 87
3.40  | 1.59  | 1.00  | 0.45  | 0.24
1.97  | 0.92  | 0.58  | 0.26  | 0.14
0.151 | 0.078 | 0.075 | 0.050 | 0.040
13    | 12    | 8     | 5     | 4
33.4  | 35.8  | 44.6  | 54.2  | 53.3
64.7  | 61.3  | 53.7  | 45.0  | 45.7
100.0 | 100.0 | 100.0 | 100.0 | 100.0
41.2  | 40.1  | 38.2  | 29.3  | 32.1
1.7   | 2.2   | 1.6   | 0.7   | 0.8
0.2   | 0.7   | 0.1   | 0.1   | 0.2
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.00  | 0.00  | 0.00  | vest. | vest.
---   | ---   | ---   | ---   | ---
---   | ---   | ---   | ---   | ---
5.7   | 7.0   | 7.8   | 8.3   | 8.4
5.9   | 7.3   | 8.1   | 8.7   | 8.8
5.3   | 6.2   | 6.7   | 7.1   | 7.1
10.8  | 7.0   | 14.2  | 9.8   | 9.7
2.6   | 1.3   | 2.6   | 2.2   | 2.0
2.4   | 2.6   | 4.8   | 5.8   | 5.9
0.9   | 0.6   | 1.5   | 0.9   | 1.2
3.7   | 1.8   | 0.0   | 0.0   | 0.0
11.7  | 18.1  | 21.5  | 29.3  | 29.5
20.6  | 14.4  | 22.3  | 19.8  | 20.0
16.7  | 11.5  | 23.1  | 18.7  | 18.8
81    | 80    | 104   | 94    | 94
