ap    | ba    | bt1   | bt2   | bc    | c     | ck
5     | 20    | 35    | 58    | 85    | 135   | 210
2.98  | 1.43  | 1.03  | 0.72  | 0.45  | 0.24  | 0.21
1.73  | 0.83  | 0.60  | 0.42  | 0.26  | 0.14  | 0.12
0.164 | 0.097 | 0.076 | 0.055 | 0.04  | 0.02  | ---
11    | 9     | 8     | 8     | 7     | 6     | ---
21.9  | 27.2  | 33.6  | 28.1  | 18.2  | 9.1   | 11.2
67.2  | 61.8  | 56.6  | 56.8  | 63.5  | 65.2  | 77.7
100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
---   | ---   | ---   | ---   | ---   | ---   | ---
9.8   | 10.1  | 9.5   | 13.3  | 16.8  | 21.9  | 9.0
1.1   | 0.9   | 0.3   | 1.8   | 1.5   | 3.8   | 2.1
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 7.6
27.4  | 27.4  | 29.,9 | 26.7  | 23.1  | 16.7  | 21.7
---   | ---   | ---   | ---   | ---   | ---   | ---
5.8   | 6.2   | 6.2   | 6.0   | 6.1   | 6.1   | 7.4
6.1   | 6.4   | 6.4   | 6.3   | 6.3   | 6.3   | 8.0
---   | ---   | ---   | ---   | ---   | ---   | ---
11.8  | 10.4  | 12.3  | 11.6  | 10.2  | 9.5   | ---
3.7   | 3.5   | 4.0   | 4.2   | 4.8   | 4.5   | ---
0.2   | 0.2   | 0.2   | 0.1   | 0.1   | 0.2   | 0.2
3.1   | 3.1   | 3.6   | 2.6   | 1.9   | 1.3   | 1.8
5.0   | 4.0   | 4.0   | 4.0   | 2.4   | 2.0   | ---
0.9   | 1.0   | 0.8   | 0.4   | 0.5   | 1.2   | 1.1
22.1  | 20.6  | 24.3  | 22.5  | 18.4  | 16.7  | 18.2
18.8  | 17.2  | 20.1  | 18.5  | 17.0  | 15.5  | 2.0
85    | 83    | 83    | 82    | 92    | 93    | 11
