ap    | a1    | e     | bt1   | bt2   | bc1   | bc2  | c
0     | 15    | 34    | 42    | 75    | 96    | 132  | 160
15    | 34    | 42    | 75    | 96    | 132   | 160  | ---
4.22  | 2.07  | 1.07  | 1.09  | 0.59  | 0.33  | 0.17 | 0.12
2.45  | 1.20  | 0.62  | 0.63  | 0.34  | 0.19  | 0.10 | 0.07
0.249 | 0.123 | 0.063 | 0.068 | 0.041 | ---   | ---  | ---
10    | 10    | 10    | 9     | 8     | ---   | ---  | ---
21.8  | 22.3  | 20.4  | 48.3  | 39.2  | 29.8  | 26.1 | 18.2
61.7  | 64.0  | 66.0  | 42.6  | 49.3  | 55.4  | 58.2 | 60.8
100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 99.0 | 95.9
-     | -     | -     | -     | -     | -     | -    |
15.9  | 13.2  | 12.9  | 8.7   | 10.9  | 13.8  | 13.7 | 15.7
0.6   | 0.5   | 0.7   | 0.4   | 0.6   | 1.0   | 1.0  | 1.2
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0  | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0  | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0  | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 1.0  | 4.1
27.4  | 24.8  | 22.3  | 36.8  | 32.9  | 29.7  | 27.6 | 25.2
---   | ---   | ---   | ---   | ---   | ---   | ---  | ---
6.0   | 6.4   | 6.3   | 6.3   | 6.6   | 6.5   | 7.0  | 7.8
6.3   | 6.8   | 7.0   | 7.2   | 7.2   | 7.3   | 7.7  | 8.6
---   | ---   | ---   | ---   | ---   | ---   | ---  | ---
11.6  | 10.6  | 7.8   | 17.0  | 16.4  | 14.7  | ---  | ---
5.7   | 5.3   | 3.9   | 9.4   | 6.8   | 5.6   | ---  | ---
2.3   | 1.9   | 0.6   | 1.0   | 2.3   | 2.5   | ---  | ---
2.6   | 1.7   | 1.6   | 3.0   | 2.7   | 2.6   | ---  | ---
5.7   | 4.1   | 3.0   | 5.6   | 4.8   | 3.9   | ---  | ---
9.3   | 9.2   | 4.1   | 3.1   | 7.8   | 10.0  | ---  | ---
24.8  | 20.6  | 14.6  | 32.0  | 29.5  | 25.1  | 24.0 | 17.4
22.2  | 19.5  | 13.9  | 30.4  | 28.2  | 25.4  | ---  | ---
90    | 95    | 95    | 95    | 96    | 101   | ---  | ---
