ap    | a     | ac    | c
0     | 16    | 38    | 73
16    | 38    | 73    | 140
1.45  | 1.19  | 0.36  | 0.16
0.84  | 0.69  | 0.21  | 0.09
0.082 | 0.064 | 0.034 | ---
10    | 11    | 6     | ---
8.5   | 9.5   | 8.8   | 8.0
9.3   | 9.5   | 8.0   | 6.4
100.0 | 100.0 | 100.0 | 100.0
---   | ---   | ---   | ---
67.7  | 66.4  | 67.6  | 69.4
14.5  | 14.6  | 15.6  | 16.2
0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0
9.6   | 10.3  | 8.6   | 7.3
---   | ---   | ---   | ---
5.7   | 6.0   | 6.2   | 6.8
6.1   | 6.7   | 6.7   | 7.5
---   | ---   | ---   | ---
8.4   | 6.4   | 6.4   | 5.3
1.4   | 1.6   | 2.9   | 2.6
0.2   | 0.2   | 0.3   | 0.4
1.3   | 1.3   | 0.9   | 1.4
5.4   | 5.0   | 3.1   | 1.7
1.6   | 1.5   | 2.7   | 3.8
12.9  | 13.1  | 11.0  | 10.5
11.3  | 9.5   | 10.5  | 9.7
88    | 73    | 95    | 92
