a     | eb    | bt1   | bt2   | bc     | c
0-19  | 19-26 | 26-52 | 52-86 | 86-115 | 115-145
2.59  | 1.21  | 0.86  | 0.34  | 0.17   | 0.17
1.50  | 0.70  | 0.50  | 0.20  | 0.10   | 0.10
0.180 | 0.073 | 0.059 | 0.060 | 0.04   | 0.03
8     | 10    | 8     | 3     | 3      | 3
19.0  | 22.0  | 28.5  | 27.5  | 19.0   | 14.5
77.0  | 74.0  | 68.0  | 69.0  | 78.5   | 83.0
99.8  | 99.9  | 99.7  | 98.9  | 100.1  | 99.6
36    | 31.5  | 36    | 34    | 25     | 34
2.0   | 2.9   | 2.0   | 1.7   | 2.0    | 1.8
1.6   | 0.9   | 1.1   | 0.6   | 0.5    | 0.3
0.2   | 0.1   | 0.1   | 0.1   | 0.1    | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
---   | ---   | ---   | ---   | ---    | ---
1655  | 1566  | 447   | 255   | 300    | 277
7.3   | 7.7   | 7.2   | 7.6   | 7.7    | 7.5
7.6   | 7.9   | 7.9   | 8.0   | 7.9    | 8.1
6.8   | 6.6   | 6.5   | 6.7   | 6.5    | 6.7
7.6   | 8.0   | 12.6  | 15.8  | 16.0   | 9.4
2.0   | 3.1   | 2.0   | 2.7   | 1.8    | 2.0
1.6   | 2.3   | 2.6   | 3.8   | 2.6    | 3.4
1.5   | 1.6   | 1.7   | 1.8   | 1.9    | 1.9
---   | ---   | ---   | ---   | ---    | ---
11.4  | 14.4  | 12.2  | 14.9  | 12.2   | 19.3
14.0  | 16.0  | 21.3  | 25.5  | 21.3   | 17.6
12.7  | 15.0  | 18.9  | 24.1  | 22.3   | 16.7
91    | 94    | 89    | 95    | 105    | 95
-     | -     | -     | -     | -      |
---   | ---   | 6.6   | 14.8  | 8.6    | 8.8
---   | ---   | 1.4   | 6.4   | 4.4    | 4.0
---   | ---   | 49.0  | 80.0  | 79.0   | 88.0
---   | ---   | ---   | 1.5   | 0.5    | 1.0
---   | ---   | 3.0   | 1.8   | 1.3    | 2.2
---   | ---   | 54.0  | 80.8  | 57.4   | 65.0
---   | ---   | 7.0   | 10.1  | 10.1   | 43.6
---   | ---   | 25    | 25    | 31     | 35
