a     | ac    | c
0     | 19    | 89
19    | 89    | 100
0.69  | 0.29  | 0.17
0.40  | 0.17  | 0.10
0.042 | ---   | ---
10    | ---   | ---
10.0  | 10.2  | 4.6
7.5   | 9.4   | 5.2
100.0 | 100.0 | 100.0
---   | ---   | ---
72.2  | 70.5  | 75.0
10.3  | 9.9   | 15.2
0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0
0.0   | 0.0   | vest.
7.9   | 8.9   | 5.6
---   | ---   | ---
6.3   | 6.6   | 7.5
6.8   | 7.4   | 7.7
---   | ---   | ---
6.3   | 6.7   | 5.2
2.8   | 3.1   | 4.1
1.4   | 1.2   | 1.4
0.8   | 0.6   | 0.8
2.9   | 2.6   | 1.3
11.6  | 9.9   | 12.0
12.1  | 12.1  | 11.7
11.3  | 11.6  | 11.5
93    | 96    | 98
