a     | e     | bt1   | bt2 | bc  | c
0     | 24    | 30    | 60  | 90  | 130
24    | 30    | 60    | 90  | 130 | 160
3.40  | 1.98  | 0.69  | --- | --- | 0.05
1.97  | 1.15  | 0.40  | --- | --- | 0.03
0.235 | 0.138 | 0.059 | --- | --- | ---
8     | 8     | 7     | --- | --- | ---
20.1  | 19.7  | 27.8  | --- | --- | 24.1
65.6  | 66.0  | 56.4  | --- | --- | 52.1
100.0 | 100.0 | 98.4  | --- | --- | 100.0
---   | ---   | ---   | --- | --- | ---
13.3  | 13.2  | 13.4  | --- | --- | 22.6
1.0   | 1.1   | 0.8   | --- | --- | 1.2
0.0   | 0.0   | 0.0   | --- | --- | 0.0
0.0   | 0.0   | 0.0   | --- | --- | 0.0
0.0   | 0.0   | 0.0   | --- | --- | 0.0
0.0   | 0.0   | 1.6   | --- | --- | vest.
28.7  | 27.1  | 31.9  | --- | --- | 30.1
---   | ---   | ---   | --- | --- | ---
6.3   | 7.2   | 8.1   | --- | --- | 8.0
6.7   | 7.6   | 8.9   | --- | --- | 8.8
---   | ---   | ---   | --- | --- | ---
8.6   | 8.4   | ---   | --- | --- | ---
2.8   | 2.2   | ---   | --- | --- | ---
1.6   | 2.6   | 11.7  | --- | --- | 7.1
1.4   | 0.8   | 2.4   | --- | --- | 2.9
7.9   | 3.6   | ---   | --- | --- | ---
8.7   | 17.7  | 53.7  | --- | --- | 33.8
18.4  | 14.7  | 21.8  | --- | --- | 21.0
14.4  | 14.0  | 14.1  | --- | --- | ---
78    | 95    | 65    | --- | --- | ---
