a     | ba    | bt    | bc    | c
0     | 20    | 29    | 58    | 115
20    | 29    | 58    | 115   | 160
3.91  | 1.53  | 1.05  | 0.59  | 0.22
2.27  | 0.89  | 0.61  | 0.34  | 0.13
0.198 | 0.095 | 0.077 | 0.060 | ---
11    | 9     | 8     | 6     | ---
25.1  | 28.4  | 29.5  | 18.4  | 9.5
60.0  | 52.5  | 50.6  | 56.3  | 56.7
100.0 | 100.0 | 100.0 | 100.0 | 100.0
---   | ---   | ---   | ---   | ---
13.1  | 17.3  | 18.6  | 22.7  | 31.0
1.8   | 1.8   | 1.3   | 2.6   | 2.8
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
30.0  | 29.6  | 29.4  | 25.2  | 18.4
---   | ---   | ---   | ---   | ---
5.9   | 5.0   | 6.0   | 6.1   | 6.7
6.0   | 6.1   | 6.3   | 6.4   | 6.7
---   | ---   | ---   | ---   | ---
13.5  | 11.5  | 12.2  | 10.9  | 7.6
1.7   | 2.9   | 3.6   | 3.1   | 2.9
0.2   | 0.2   | 0.1   | 0.2   | 0.1
2.2   | 1.5   | 1.5   | 1.3   | 1.4
7.1   | 5.4   | 6.0   | 4.0   | 2.0
0.9   | 1.0   | 0.5   | 1.1   | 0.7
22.3  | 19.7  | 21.1  | 18.4  | 13.6
17.6  | 16.1  | 17.4  | 15.5  | 12.0
79    | 82    | 82    | 84    | 88
