a     | e     | bt1   | bt2   | bt3    | bc
0-24  | 24-37 | 37-66 | 66-92 | 92-132 | 132-   +
2.07  | 0.86  | 0.86  | 0.17  | 0.17   | 0.17
1.20  | 0.50  | 0.50  | 0.10  | 0.10   | 0.10
0.090 | 0.048 | 0.053 | 0.030 | 0.04   | 0.02
13    | 10    | 9     | 3     | 2      | 5
27.8  | 26.9  | 48.4  | 40.4  | 27.6   | 23.5
66.3  | 67.3  | 48.3  | 56.3  | 67.1   | 70.2
100.0 | 100.0 | 100.0 | 100.0 | 100.0  | 100.0
37.3  | 40.3  | 30.1  | 39.9  | 46.4   | 46.8
0.8   | 3.5   | 2.0   | 2.0   | 3.5    | 3.9
4.3   | 1.9   | 1.1   | 1.1   | 1.5    | 2.1
0.8   | 0.4   | 0.2   | 0.2   | 0.3    | 0.3
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
---   | ---   | ---   | ---   | ---    | ---
---   | ---   | ---   | ---   | ---    | ---
---   | ---   | ---   | ---   | ---    | ---
6.5   | 6.9   | 7.5   | 7.9   | 8.0    | 8.1
6.7   | 7.0   | 7.6   | 8.0   | 8.1    | 8.2
5.3   | 5.4   | 5.6   | 5.9   | 6.3    | 6.2
9.1   | 7.0   | 14.8  | 17.9  | 22.5   | 16.9
1.4   | 1.0   | 2.5   | 4.3   | 3.7    | 3.6
0.4   | 0.4   | 0.8   | 1.1   | 1.0    | 1.1
0.8   | 0.7   | 1.4   | 2.0   | 2.4    | 2.2
2.3   | 1.5   | 2.3   | 0.0   | 0.0    | 0.0
3.0   | 3.7   | 3.9   | 4.4   | 3.6    | 4.8
13.2  | 10.7  | 20.5  | 25.2  | 27.4   | 22.7
11.7  | 9.1   | 19.5  | 25.3  | 29.6   | 23.8
89    | 85    | 95    | 100   | 108    | 105
