a     | e1    | e2    | bt1    | bt2
0-26  | 26-47 | 47-65 | 65-110 | 110-160
3.28  | 1.03  | 0.86  | 0.69   | 0.17
1.90  | 0.60  | 0.50  | 0.40   | 0.10
0.127 | 0.070 | 0.050 | 0.040  | 0.030
15    | 9     | 10    | 10     | 3
36.0  | 38.1  | 31.1  | 42.6   | 49.5
61.3  | 59.5  | 66.0  | 50.9   | 43.0
100.0 | 100.0 | 100.0 | 100.0  | 100.0
44.9  | 43.2  | 48.3  | 30.7   | 25.7
1.6   | 1.6   | 1.8   | 3.6    | 3.6
0.9   | 0.7   | 0.9   | 2.2    | 3.3
0.2   | 0.1   | 0.2   | 0.7    | 0.6
0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0    | 0.0
---   | ---   | ---   | ---    | ---
---   | ---   | ---   | ---    | ---
---   | ---   | ---   | ---    | ---
5.9   | 6.0   | 6.0   | 6.2    | 6.5
6.0   | 6.1   | 6.1   | 6.5    | 6.8
4.9   | 4.8   | 4.9   | 5.0    | 5.1
12.1  | 9.9   | 8.2   | 15.2   | 19.1
1.4   | 0.8   | 0.4   | 1.5    | 2.1
0.5   | 0.4   | 0.4   | 0.5    | 0.6
1.3   | 0.9   | 0.8   | 1.3    | 1.7
3.3   | 2.2   | 1.1   | 2.2    | 1.1
2.7   | 2.5   | 3.4   | 2.6    | 2.6
18.3  | 15.7  | 11.9  | 19.2   | 23.2
15.3  | 12.0  | 9.8   | 18.5   | 23.5
84    | 76    | 82    | 96     | 101
