ap    | ba    | bt1   | bt2   | bc    | c     | ck
5     | 21    | 35    | 53    | 85    | 145   | 220
3.47  | 1.50  | 0.86  | 0.86  | 0.53  | 0.17  | ---
2.01  | 0.87  | 0.50  | 0.50  | 0.31  | 0.10  | ---
0.174 | 0.090 | 0.072 | 0.069 | 0.02  | ---   | ---
12    | 10    | 7     | 7     | 18    | ---   | ---
24.2  | 29.0  | 34.9  | 31.7  | 26.8  | 18.4  | 16.2
63.4  | 56.8  | 52.3  | 52.8  | 55.6  | 62.2  | 51.5
100.0 | 100.4 | 100.0 | 100.0 | 100.0 | 100.0 | 95.8
---   | ---   | ---   | ---   | ---   | ---   | ---
11.6  | 13.2  | 12.4  | 14.9  | 16.3  | 17.7  | 25.7
0.8   | 1.4   | 0.4   | 0.6   | 1.3   | 1.7   | 2.4
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 4.2
29.3  | 28.9  | 30.8  | 32.4  | 29.2  | 22.1  | 21.8
---   | ---   | ---   | ---   | ---   | ---   | ---
6.2   | 6.1   | 6.4   | 6.2   | 6.3   | 6.6   | 8.0
7.5   | 7.5   | 7.3   | 7.6   | 7.6   | 7.7   | 8.5
---   | ---   | ---   | ---   | ---   | ---   | ---
11.6  | 10.6  | 12.6  | 14.6  | 13.6  | 9.8   | ---
3.2   | 4.1   | 5.0   | 5.7   | 5.1   | 5.4   | ---
0.3   | 0.3   | 0.3   | 0.3   | 0.2   | 0.4   | 0.3
2.0   | 1.8   | 2.0   | 2.0   | 2.3   | 2.4   | 2.3
6.7   | 5.3   | 5.0   | 5.5   | 4.7   | 3.0   | ---
1.5   | 1.4   | 1.3   | 1.1   | 0.8   | 2.1   | 1.8
20.3  | 21.0  | 23.7  | 26.3  | 24.0  | 19.3  | 16.6
17.1  | 16.8  | 19.9  | 22.6  | 21.2  | 18.0  | ---
84    | 80    | 84    | 86    | 88    | 93    | ---
