a     | e     | bt1   | bt2   | bt3   | bc    | c     | ck
2.14  | 1.76  | 0.81  | 0.38  | 0.14  | 0.09  | 0.07  | 0.10
1.24  | 1.02  | 0.47  | 0.22  | 0.08  | 0.05  | 0.04  | 0.06
0.147 | 0.084 | 0.075 | 0.048 | 0.030 | 0.020 | 0.020 | 0.020
8     | 12    | 6     | 5     | 3     | 3     | 2     | 3
23.5  | 22.5  | 49.5  | 40.5  | 30.5  | 27.5  | 25.0  | 20.5
71.5  | 73.5  | 48.0  | 58.0  | 65.5  | 67.5  | 71.5  | 76.5
99.4  | 100.3 | 99.8  | 100.2 | 99.7  | 99.5  | 100.0 | 100.2
27    | 28    | 21    | 39.5  | 28.5  | 32    | 33.5  | 43
3.5   | 3.7   | 2.1   | 1.5   | 2.9   | 3.7   | 2.0   | 2.0
0.7   | 0.5   | 0.2   | 0.2   | 0.7   | 0.7   | 1.4   | 1.1
0.2   | 0.1   | 0.0   | 0.0   | 0.1   | 0.1   | 0.1   | 0.1
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 5.9
34.5  | 33.6  | 57.1  | 51.6  | 36.6  | 35.7  | 34.8  | 33.0
5128  | 3712  | 728   | 896   | 1368  | 1368  | 1196  | 1112
5.9   | 6.5   | 7.5   | 7.7   | 7.7   | 7.6   | 7.5   | 8.0
6.1   | 7.0   | 7.9   | 8.4   | 8.7   | 8.5   | 8.5   | 9.0
5.1   | 5.5   | 6.4   | 6.5   | 6.5   | 6.4   | 6.4   | 7.0
8.8   | 7.6   | 18.0  | 17.2  | 15.0  | 13.8  | 11.6  | 10.6
2.6   | 1.4   | 4.9   | 6.6   | 2.0   | 3.0   | 4.5   | 1.7
1.5   | 1.2   | 1.2   | 1.2   | 2.3   | 1.2   | 1.3   | 1.5
1.3   | 0.7   | 0.7   | 0.8   | 1.7   | 1.3   | 0.9   | 0.9
3.2   | ---   | ---   | ---   | ---   | ---   | ---   | ---
8.9   | 8.8   | 4.3   | 4.4   | 10.0  | 5.7   | 6.2   | 8.3
16.9  | 13.6  | 28.0  | 27.2  | 22.9  | 21.0  | 21.0  | 18.0
14.2  | 10.9  | 24.8  | 25.8  | 21.0  | 19.3  | 18.3  | 14.7
84    | 80    | 89    | 95    | 92    | 92    | 87    | 82
