a1    | a2    | b21t  | b22t  | b23t  | b31   | b32   | c1
0     | 16    | 24    | 51    | 80    | 115   | 152   | 187
16    | 24    | 51    | 80    | 115   | 152   | 187   | 210
2.59  | 2.07  | 1.55  | 0.69  | 0.17  | 0.17  | 0.17  | 0.17
1.50  | 1.20  | 0.90  | 0.40  | 0.10  | 0.10  | 0.10  | 0.10
0.156 | 0.134 | 0.099 | 0.085 | 0.040 | 0.056 | 0.071 | 0.042
10    | 9     | 9     | 5     | 3     | 2     | 1     | 2
21.5  | 24.0  | 50.5  | 35.0  | 24.0  | 14.5  | 17.0  | 17.5
71.5  | 71.5  | 46.5  | 62.0  | 70.0  | 79.0  | 76.5  | 76.0
96.8  | 97.5  | 97.9  | 98.5  | 97.9  | 98.8  | 98.7  | 98.7
38.5  | 37.5  | 23    | 35.5  | 47    | 39    | 40    | 39.5
3.5   | 1.6   | 0.8   | 1.3   | 2.8   | 3.8   | 3.5   | 3.6
0.3   | 0.3   | 0.1   | 0.2   | 1.0   | 1.4   | 1.6   | 1.5
0.0   | 0.1   | 0.0   | 0.0   | 0.1   | 0.1   | 0.1   | 0.1
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
4447  | 4862  | 1469  | 1722  | 1469  | 2026  | 2431  | 2178
5.8   | 6.0   | 6.8   | 7.3   | 7.8   | 7.6   | 7.3   | 7.3
6.1   | 6.1   | 7.2   | 7.6   | 8.1   | 7.9   | 7.6   | 7.4
5.0   | 5.1   | 5.4   | 5.6   | 6.6   | 6.0   | 5.5   | 5.2
9.5   | 9.7   | 20.7  | 19.1  | 19.7  | 12.9  | 13.3  | 14.8
2.3   | 2.1   | 6.5   | 5.6   | 6.0   | 7.9   | 6.4   | 3.6
0.2   | 0.2   | 0.6   | 0.7   | 0.8   | 0.7   | 0.6   | 0.4
1.0   | 1.0   | 2.9   | 2.6   | 3.3   | 3.0   | 2.8   | 2.6
3.0   | 3.0   | 2.4   | 2.4   | 0.0   | 1.6   | 1.5   | 2.3
1.2   | 1.3   | 1.8   | 2.4   | 2.8   | 2.7   | 2.6   | 1.7
16.1  | 15.2  | 33.6  | 29.2  | 28.6  | 26.3  | 23.3  | 23.1
13.0  | 13.0  | 30.7  | 28.0  | 29.8  | 24.5  | 23.1  | 21.4
81    | 86    | 91    | 96    | 104   | 93    | 99    | 93
