a     | e     | bt1   | bt2   | bc    | c
5     | 25    | 40    | 70    | 89    | 115
17    | 33    | 50    | 79    | 97    | 125
3.71  | 0.52  | 0.48  | 0.47  | 0.38  | ---
2.15  | 0.30  | 0.28  | 0.27  | 0.22  | ---
0.189 | ---   | ---   | ---   | ---   | ---
11    | ---   | ---   | ---   | ---   | ---
24.3  | 14.8  | 38.0  | 33.8  | 23.7  | 21.0
57.7  | 57.3  | 49.7  | 43.6  | 45.5  | 47.8
100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
---   | ---   | ---   | ---   | ---   | ---
17.0  | 26.3  | 11.8  | 21.2  | 28.7  | 28.5
1.0   | 1.6   | 0.5   | 1.4   | 2.1   | 2.7
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | vest. | vest. | vest. | vest.
29.1  | 24.5  | 48.5  | 52.1  | 32.6  | 27.8
---   | ---   | ---   | ---   | ---   | ---
5.7   | 6.9   | 7.6   | 8.3   | 8.6   | 8.7
6.5   | 7.8   | 8.6   | 9.3   | 9.3   | 9.3
---   | ---   | ---   | ---   | ---   | ---
7.4   | 3.8   | ---   | ---   | ---   | ---
3.8   | 3.3   | ---   | ---   | ---   | ---
0.4   | 0.9   | 6.4   | 10.5  | 8.9   | 7.7
2.6   | 1.8   | 3.2   | 3.8   | 3.7   | 3.5
7.6   | 2.5   | ---   | ---   | ---   | ---
2.3   | 9.8   | 25.8  | 35.1  | 37.9  | 38.9
17.7  | 9.2   | 24.8  | 29.9  | 23.5  | 19.8
14.2  | 9.8   | ---   | ---   | ---   | ---
80    | 107   | ---   | ---   | ---   | ---
