ap    | ab    | 2bt1  | 2btg2 | 2btg3 | 2bcg
0-13  | 13-22 | 22-40 | 40-62 | 62-95 | 95     +
4.02  | 1.33  | 0.6   | 0.47  | 0.22  | 0.22
2.33  | 0.77  | 0.35  | 0.27  | 0.13  | 0.13
0.198 | 0.079 | 0.048 | 0.031 | 0.029 | 0.031
12    | 10    | 7     | 9     | 4     | 4
16.3  | 16.5  | 28.2  | 28.8  | ----  | ----
44.7  | 43.2  | 36.9  | 38.3  | ----  | ----
100   | 100   | 100   | 100   | ----  | ----
21.1  | 17.6  | 17.3  | 18.4  | ----  | ----
16.7  | 16.9  | 14.5  | 13.7  | ----  | ----
16.4  | 17.2  | 15.3  | 14.3  | ----  | ----
5.4   | 5.6   | 4.7   | 4.5   | ----  | ----
0.6   | 0.5   | 0.4   | 0.5   | ----  | ----
----  | 0.07  | 0.02  | ----  | ----  | ----
-     | -     | -     | -     | -     |
-     | -     | -     | -     | -     |
547   | 753   | 438   | 474   | 438   | 450
7.7   | 8     | 8.2   | 8.1   | 8     | 7.9
7.7   | 8     | 8.3   | 8.4   | 8.3   | 8.2
7.0   | 6.9   | 7.2   | 7.3   | 7.0   | 7.0
11.03 | 5.84  | 7.79  | 6.49  | 6.92  | 8.65
1.28  | 1.54  | 0.83  | 2.13  | 2.92  | 2.01
2.61  | 1.45  | 3.19  | 3.19  | 4.06  | 4.35
0.30  | 0.15  | 0.30  | 0.30  | 0.42  | 0.46
-     | -     | -     | -     | -     |
15.86 | 11.15 | 22.66 | 22.31 | 26.40 | 22.32
16.46 | 13    | 14.08 | 14.30 | 15.38 | 19.49
16.32 | 10.45 | 12.84 | 12.48 | 15.05 | 16.20
99    | 80    | 91    | 87    | 98    | 83
