a     | ac    | c
0     | 23    | 63
2.38  | 0.86  | 0.28
1.38  | 0.50  | 0.16
0.137 | 0.067 | 0.036
10    | 7     | 4
15.7  | 11.5  | 7.2
35.4  | 34.0  | 30.9
99.4  | 98.5  | 99.6
46.0  | 49.9  | 53.7
2.3   | 3.1   | 7.8
0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0
18.1  | 15.7  | 11.7
---   | ---   | ---
5.6   | 6.4   | 6.7
5.9   | 6.6   | 7.0
---   | ---   | ---
7.6   | 8.6   | 7.1
1.2   | 1.7   | 1.7
0.3   | 0.3   | 0.3
1.5   | 1.0   | 1.0
2.9   | 1.1   | 0.6
2.2   | 2.3   | 2.9
13.7  | 12.9  | 10.5
10.6  | 11.6  | 10.1
77    | 90    | 96
