ap    | b     | bc    | c
5     | 25    | 60    | 80
15    | 30    | 70    | 90
2.22  | 1.33  | 0.67  | ---
1.29  | 0.77  | 0.39  | ---
0.130 | 0.084 | 0.061 | ---
10    | 9     | 6     | ---
17.8  | 24.4  | 18.6  | 12.9
35.9  | 29.6  | 31.3  | 31.8
100.0 | 100.0 | 100.0 | 100.0
16.3  | 11.3  | 13.4  | 13.1
44.6  | 44.8  | 48.0  | 52.7
1.7   | 1.2   | 2.1   | 2.6
0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0
17.6  | 18.9  | 15.6  | 11.7
---   | ---   | ---   | ---
5.9   | 6.1   | 6.6   | 7.0
6.7   | 7.0   | 7.3   | 7.5
---   | ---   | ---   | ---
9.5   | 10.2  | 10.0  | 8.2
2.1   | 1.2   | 1.1   | 2.9
0.3   | 0.3   | 0.4   | 0.4
2.2   | 2.0   | 1.1   | 1.5
4.0   | 2.3   | 2.5   | 1.4
2.1   | 2.0   | 3.1   | 3.5
14.1  | 15.2  | 13.0  | 11.4
14.1  | 13.7  | 12.6  | 13.0
100   | 90    | 97    | 114
