ap    | a     | ba    | bt1   | bt2   | bt3   | bc    | c     | ck
0     | 10    | 17    | 30    | 55    | 73    | 95    | 135   | 160
3.19  | 2.93  | 1.90  | 1.26  | 0.95  | 0.62  | 0.47  | 0.21  | 0.24
1.85  | 1.70  | 1.10  | 0.73  | 0.55  | 0.36  | 0.27  | 0.12  | 0.14
0.155 | 0.138 | 0.105 | 0.077 | 0.059 | 0.046 | 0.037 | 0.024 | 0.024
12    | 12    | 10    | 9     | 9     | 8     | 7     | 5     | 6
20.1  | 22.1  | 25.3  | 36.7  | 38.5  | 34.9  | 23.9  | 14.2  | 14.3
75.7  | 73.9  | 71.7  | 55.8  | 57.8  | 61.2  | 70.3  | 80.0  | 78.5
100.0 | 100.0 | 100.0 | 96.0  | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
36.1  | 35.2  | 35.4  | 28.3  | 25.9  | 28.3  | 33.1  | 32.4  | 29.1
3.3   | 3.2   | 2.6   | 2.8   | 3.3   | 3.4   | 4.6   | 4.9   | 6.3
0.9   | 0.8   | 0.4   | 0.6   | 0.3   | 0.4   | 1.0   | 0.7   | 0.9
0.0   | 0.0   | 0.0   | 0.1   | 0.1   | 0.1   | 0.2   | 0.2   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 4.6
26.2  | 26.2  | 27.4  | 29.9  | 33.2  | 33.0  | 29.9  | 23.9  | 24.5
---   | ---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
5.5   | 5.9   | 6.0   | 6.3   | 6.5   | 6.5   | 6.8   | 7.3   | 8.0
6.0   | 6.1   | 6.2   | 6.5   | 6.7   | 6.8   | 7.0   | 7.6   | 8.4
---   | ---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
12.9  | 12.5  | 13.5  | 16.2  | 17.5  | 17.8  | 15.7  | 14.5  | ---
2.6   | 2.3   | 3.3   | 4.2   | 3.0   | 5.3   | 6.1   | 4.3   | ---
0.2   | 0.2   | 0.3   | 0.4   | 0.3   | 0.4   | 0.3   | 0.4   | 1.5
2.4   | 1.4   | 1.2   | 1.6   | 2.1   | 3.3   | 2.2   | 2.2   | 2.8
4.5   | 4.5   | 3.0   | 3.0   | 3.0   | 3.0   | 2.5   | 1.4   | ---
1.0   | 1.0   | 1.5   | 1.6   | 1.1   | 1.4   | 1.2   | 1.9   | 6.6
20.9  | 19.2  | 20.6  | 24.4  | 26.9  | 27.8  | 26.0  | 21.4  | 22.8
18.1  | 16.4  | 18.3  | 22.4  | 22.9  | 26.8  | 24.3  | 21.4  | ---
87    | 85    | 89    | 92    | 85    | 96    | 93    | 100   | ---
