e    | 2bt1  | 2bt2
0-20 | 30-46 | 46-64
-    | -     |
-    | -     |
-    | -     |
-    | -     |
22.2 | 21.8  | 28.3
39.0 | 27.4  | 27.7
100  | 100   | 100
-    | -     |
-    | -     |
-    | -     |
-    | -     |
-    | -     |
-    | -     |
-    | -     |
-    | -     |
3060 | 1254  | 564
-    | -     |
5.7  | 7     | 7.9
-    | -     |
8.9  | 6.4   | 9.8
1.1  | 1.5   | 1.3
0.4  | 1.2   | 1.9
0.5  | 0.4   | 0.8
-    | -     |
2.2  | 7.5   | 10.7
16.6 | 15.3  | 17.2
10.9 | 9.5   | 13.8
66   | 62    | 80
