a     | ba    | bt    | bc    | c      | ck
0-19  | 19-28 | 28-60 | 60-88 | 88-125 | 126-160
3.45  | 1.84  | 0.91  | 0.40  | 0.34   | 0.17
2.00  | 1.07  | 0.53  | 0.23  | 0.20   | 0.10
0.158 | 0.091 | 0.063 | 0.047 | 0.04   | 0.02
13    | 12    | 8     | 5     | 5      | 5
35.0  | 41.9  | 41.6  | 35.7  | 25.5   | 21.2
61.8  | 55.7  | 55.7  | 60.8  | 63.0   | 66.1
100.0 | 100.0 | 100.0 | 100.0 | 100.0  | 100.0
37.1  | 35.6  | 35.8  | 39.5  | 40.2   | 41.8
2.5   | 2.0   | 2.0   | 2.7   | 7.1    | 7.4
0.7   | 0.4   | 0.7   | 0.8   | 4.4    | 5.3
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 1.6
-     | -     | -     | -     | -      |
1250  | 1310  | 1350  | 1390  | 1250   | 1010
6.7   | 6.7   | 7.0   | 7.1   | 7.3    | 8.3
6.9   | 6.9   | 7.1   | 7.2   | 7.4    | 8.4
5.4   | 5.3   | 5.3   | 5.4   | 5.5    | 7.4
14.9  | 16.4  | 15.8  | 16.7  | 15.2   | 8.1
3.7   | 4.3   | 4.9   | 4.3   | 5.4    | 7.5
0.5   | 0.6   | 0.5   | 0.7   | 0.8    | 1.6
2.3   | 2.3   | 2.3   | 2.3   | 2.4    | 2.6
2.7   | 3.5   | 2.6   | 1.8   | 1.8    | 0.0
2.2   | 2.3   | 1.9   | 2.8   | 3.3    | 8.8
22.3  | 26.3  | 25.9  | 24.6  | 24.2   | 18.2
21.4  | 23.6  | 23.5  | 24.0  | 23.8   | 19.8
96    | 90    | 91    | 98    | 98     | 109
