e1    | e2    | 2bt1
0-20  | 20-33 | 33-47
2.79  | 1.05  | -----
1.60  | 0.60  | -----
0.198 | 0.089 | -----
8     | 7     | -----
23.5  | 27.5  | 34.5
56.0  | 53.5  | 50.0
99.0  | 99.4  | 100.2
-     | -     |
-     | -     |
-     | -     |
-     | -     |
-     | -     |
-     | -     |
----- | ----- | vest.
----- | ----- | -----
----- | ----- | -----
----- | ----- | -----
5.6   | 6.1   | 6.8
----- | ----- | -----
6.6   | 13.2  | 14.7
0.8   | 1.0   | 0.9
0.8   | 1.1   | 1.1
0.4   | 1.0   | 0.6
----- | ----- | -----
7.2   | 6.7   | 5.8
11.1  | 16.3  | 19.0
8.6   | 16.3  | 17.3
77    | 100   | 91
