e     | bt1   | bt2   | bt3    | bc      | c       | ck
0-14  | 14-44 | 44-80 | 80-130 | 130-168 | 168-225 | 225-300
1.60  | 1.26  | 0.21  | ---    | ---     | ---     | ---
0.93  | 0.73  | 0.12  | ---    | ---     | ---     | ---
0.095 | 0.098 | 0.044 | 0.036  | 0.04    | 0.03    | 0.033
10    | 7     | 3     | ---    | ---     | ---     | ---
23.1  | 50.9  | 50.8  | 47.0   | 43.4    | 37.9    | ---
70.8  | 46.2  | 46.5  | 49.9   | 52.8    | 58.0    | ---
100.0 | 100.0 | 100.1 | 100.0  | 100.1   | 99.9    | ---
-     | -     | -     | -      | -       | -       |
4.3   | 2.0   | 2.0   | 2.3    | 2.9     | 2.9     | ---
1.8   | 0.9   | 0.8   | 0.8    | 1.0     | 1.1     | ---
0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | ---
0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | ---
0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | ---
---   | ---   | ---   | ---    | ---     | ---     | ---
---   | ---   | ---   | ---    | ---     | ---     | ---
5411  | 541   | 458   | 583    | 749     | 790     | 707
5.9   | 7.4   | 7.9   | 8.0    | 8.2     | 8.4     | 8.6
6.0   | 7.9   | 8.6   | 8.7    | 8.7     | 9.1     | 9.4
5.0   | 6.5   | 6.9   | 6.9    | 6.7     | 6.9     | 7.6
3.4   | 7.3   | 8.4   | 8.8    | 6.5     | 5.2     | 11.0
2.4   | 4.2   | 5.2   | 2.7    | 3.9     | 3.3     | 7.6
1.6   | 5.6   | 7.0   | 7.0    | 7.8     | 7.0     | 8.0
1.2   | 1.4   | 3.4   | 3.4    | 4.3     | 3.4     | 3.5
3.0   | ---   | ---   | ---    | ---     | ---     | ---
16.0  | 27.9  | 31.4  | 31.3   | 33.9    | 34.5    | 28.7
10.0  | 20.1  | 22.3  | 22.4   | 23.0    | 20.3    | 27.9
8.6   | 18.5  | 24.0  | 21.9   | 22.5    | 18.9    | 30.1
86    | 92    | 108   | 98     | 98      | 93      | 108
