ape   | bt1   | bt2   | bc    | ck
0     | 25    | 55    | 80    | 125
1.26  | 0.62  | 0.31  | 0.17  | ---
0.73  | 0.36  | 0.18  | 0.10  | ---
0.072 | 0.054 | 0.033 | ---   | ---
10    | 7     | 5     | ---   | ---
12.2  | 42.9  | 22.9  | 21.7  | 10.0
74.3  | 48.5  | 63.5  | 62.1  | 71.3
100.0 | 100.0 | 100.0 | 100.0 | 100.0
---   | ---   | ---   | ---   | ---
11.4  | 7.7   | 11.7  | 14.4  | 15.3
2.1   | 0.9   | 1.9   | 1.8   | 3.4
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.00  | 0.60  | 3.90  | 1.00  | 9.30
20.8  | 58.5  | 38.7  | 28.5  | 23.8
---   | ---   | ---   | ---   | ---
7.8   | 8.6   | 8.5   | 8.1   | 8.0
8.3   | 9.0   | 9.2   | 8.7   | 8.6
---   | ---   | ---   | ---   | ---
4.7   | ---   | ---   | ---   | ---
1.8   | ---   | ---   | ---   | ---
3.7   | 14.5  | 10.8  | 5.4   | 3.0
3.2   | 4.0   | 3.2   | 2.3   | 1.7
0.6   | ---   | ---   | ---   | ---
27.4  | 47.5  | 36.9  | 24.1  | 15.8
13.5  | 30.5  | 29.3  | 22.4  | 19.0
13.4  | ---   | ---   | ---   | ---
99    | ---   | ---   | ---   | ---
