a1    | a2    | ac    | 2b    | bc    | 2c
5     | 25    | 35    | 50    | 90    | 110
2.12  | 1.05  | 0.52  | 0.10  | ---   | ---
1.23  | 0.61  | 0.30  | 0.06  | ---   | ---
0.118 | 0.076 | 0.053 | ---   | ---   | ---
10    | 8     | 6     | ---   | ---   | ---
17.8  | 14.6  | 11.5  | 22.9  | 18.4  | 16.8
35.9  | 34.9  | 38.5  | 33.5  | 33.8  | 31.9
100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
---   | ---   | ---   | ---   | ---   | ---
45.2  | 48.9  | 47.2  | 42.0  | 46.3  | 49.0
1.1   | 1.6   | 2.8   | 1.6   | 1.5   | 2.3
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | vest. | vest. | vest.
18.1  | 15.3  | 12.3  | 25.4  | 18.9  | 16.3
---   | ---   | ---   | ---   | ---   | ---
6.5   | 6.9   | 7.6   | 8.1   | 8.5   | 9.0
7.4   | 7.3   | 8.4   | 9.1   | 9.5   | 9.8
---   | ---   | ---   | ---   | ---   | ---
5.2   | 5.9   | 5.2   | ---   | ---   | ---
3.3   | 1.6   | 3.8   | ---   | ---   | ---
0.4   | 0.6   | 1.7   | 5.4   | 3.3   | 8.6
3.1   | 2.8   | 2.5   | 5.8   | 4.5   | 3.2
4.9   | 3.5   | ---   | ---   | ---   | ---
3.3   | 5.3   | 23.3  | 27.0  | 28.9  | 87.8
12.2  | 11.3  | 7.3   | 20.0  | 11.4  | 9.8
12.0  | 10.9  | 13.2  | ---   | ---   | ---
98    | 96    | 181   | ---   | ---   | ---
