e     | b     | bt1   | bt2   | bt3
1.47  | 1.10  | 0.47  | 0.29  | 0.22
0.85  | 0.64  | 0.27  | 0.17  | 0.13
0.129 | 0.106 | 0.106 | 0.083 | 0.055
7     | 6     | 3     | 2     | 2
22.0  | 26.0  | 34.5  | 40.0  | 35.0
75.5  | 72.0  | 63.5  | 58.0  | 63.0
100.3 | 100.1 | 99.5  | 99.6  | 99.8
28.0  | 29.0  | 24.5  | 28.0  | 28.5
2.0   | 1.4   | 1.1   | 1.0   | 1.3
0.5   | 0.4   | 0.3   | 0.4   | 0.4
0.3   | 0.3   | 0.1   | 0.2   | 0.1
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.00  | 0.00  | 0.00  | 0.00  | 0.00
28.4  | 32.2  | 61.4  | 65.0  | 57.1
1696  | 2088  | 522   | 626   | 1148
7.1   | 7.3   | 7.7   | 7.9   | 8.0
7.2   | 7.9   | 8.3   | 8.3   | 8.4
6.0   | 6.1   | 6.3   | 6.4   | 6.3
5.2   | 7.2   | 10.0  | 15.6  | 12.0
1.0   | 1.2   | 2.2   | 1.6   | 1.0
2.9   | 4.3   | 8.7   | 9.8   | 9.3
1.4   | 1.5   | 2.2   | 2.6   | 2.4
---   | ---   | ---   | ---   | ---
19.1  | 23.4  | 34.8  | 31.8  | 35.8
15.2  | 18.4  | 25.0  | 30.8  | 26.0
10.5  | 14.2  | 23.1  | 29.6  | 24.7
69    | 77    | 92    | 96    | 95
