a     | eb    | bt1   | bt2   | bc     | c       | ck
0-20  | 20-29 | 29-58 | 58-90 | 90-120 | 120-150 | +     200
1.88  | 1.24  | 0.64  | 0.21  | 0.07   | 0.09    | 0.05
1.09  | 0.72  | 0.37  | 0.12  | 0.04   | 0.05    | 0.03
0.186 | 0.130 | 0.110 | 0.102 | 0.10   | 0.08    | 0.07
6     | 6     | 3     | 1     | 0      | 1       | 0
19.5  | 20.0  | 30.5  | 29.0  | 24.0   | 19.5    | 16.5
76.0  | 77.0  | 67.0  | 68.0  | 71.5   | 74.0    | 77.0
98.8  | 99.7  | 99.6  | 99.5  | 99.3   | 99.2    | 99.2
32.5  | 32    | 28    | 32.5  | 32     | 36      | 35
1.9   | 1.6   | 1.6   | 1.5   | 2.3    | 2.1     | 2.6
1.3   | 1.1   | 0.5   | 0.9   | 1.4    | 3.4     | 3.1
0.1   | 0.1   | 0.1   | 0.1   | 0.1    | 0.2     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
---   | ---   | ---   | ---   | ---    | ---     | ---
---   | ---   | ---   | ---   | ---    | ---     | ---
6660  | 5411  | 1540  | 1790  | 1665   | 1540    | 1332
5.2   | 6.0   | 6.3   | 6.4   | 6.7    | 6.3     | 6.7
6.1   | 6.1   | 6.8   | 6.9   | 7.3    | 7.9     | 8.1
4.5   | 4.8   | 5.3   | 5.4   | 6.1    | 7.0     | 7.0
8.1   | 7.8   | 15.4  | 18.7  | 13.0   | 15.9    | 12.5
0.8   | 0.8   | 2.0   | 4.6   | 3.2    | 4.2     | 3.1
1.1   | 1.5   | 2.4   | 2.7   | 2.9    | 2.7     | 3.5
1.3   | 1.3   | 2.8   | 3.0   | 2.6    | 2.6     | 2.6
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
6.7   | 10.2  | 9.4   | 9.1   | 13.2   | 10.8    | 16.3
16.3  | 14.7  | 25.5  | 29.7  | 22.0   | 25.1    | 21.5
11.3  | 11.4  | 22.6  | 29.0  | 21.7   | 25.4    | 21.7
69    | 78    | 89    | 98    | 99     | 101     | 101
