ap    | a     | e     | bt1   | bt2   | bt3   | bc      | c       | ck
5-10  | 16-22 | 26-30 | 37-52 | 60-80 | 85-97 | 110-120 | 132-145 | 155-170
3.02  | 2.79  | 1.22  | 1.02  | 0.81  | 0.41  | 0.24    | 0.21    | 0.17
1.75  | 1.62  | 0.71  | 0.59  | 0.47  | 0.24  | 0.14    | 0.12    | 0.10
0.173 | 0.171 | 0.092 | 0.085 | 0.064 | 0.051 | 0.029   | 0.025   | ---
10    | 9     | 8     | 7     | 7     | 5     | 5       | 5       | ---
23.5  | 23.0  | 20.0  | 40.0  | 43.5  | 32.1  | 23.1    | 22.2    | 22.0
71.1  | 72.7  | 75.1  | 57.0  | 53.0  | 63.2  | 70.7    | 72.3    | 72.6
100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0   | 100.0   | 100.0
---   | ---   | ---   | ---   | ---   | ---   | ---     | ---     | ---
4.1   | 3.6   | 3.9   | 2.2   | 3.2   | 3.8   | 5.1     | 4.8     | 4.8
1.3   | 0.6   | 0.9   | 0.7   | 0.2   | 0.7   | 1.0     | 0.6     | 0.5
0.0   | 0.1   | 0.1   | 0.1   | 0.1   | 0.2   | 0.1     | 0.1     | 0.1
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0     | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0     | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0     | 0.0     | 2.7
28.4  | 27.9  | 25.6  | 34.7  | 41.6  | 34.0  | 29.5    | 28.6    | 27.9
4773  | 5249  | 4772  | 2200  | 1432  | 1002  | 906     | 777     | 802
5.7   | 5.2   | 5.7   | 6.2   | 6.0   | 6.3   | 6.6     | 6.8     | 7.9
5.9   | 5.4   | 5.9   | 6.4   | 6.7   | 7.0   | 7.3     | 7.7     | 8.2
---   | ---   | ---   | ---   | ---   | ---   | ---     | ---     | ---
9.0   | 7.8   | 7.0   | 15.1  | 17.3  | 13.0  | 13.7    | 13.4    | 9.5
2.0   | 1.8   | 1.4   | 2.7   | 4.0   | 4.0   | 3.7     | 3.9     | 3.9
0.3   | 0.3   | 0.4   | 1.6   | 3.2   | 5.6   | 5.7     | 5.3     | 3.8
2.5   | 2.1   | 1.6   | 3.2   | 3.5   | 3.6   | 3.3     | 3.7     | 3.6
5.6   | 5.1   | 3.1   | 2.6   | 1.8   | 1.5   | 0.6     | 0.6     | ---
1.7   | 1.7   | 3.1   | 6.6   | 10.9  | 20.9  | 22.6    | 22.0    | 18.4
17.8  | 17.6  | 12.8  | 24.4  | 29.3  | 26.8  | 25.2    | 24.1    | 20.7
13.8  | 12.0  | 10.4  | 22.6  | 28.0  | 26.2  | 26.4    | 26.3    | 20.8
78    | 68    | 81    | 93    | 96    | 98    | 105     | 109     | 100
