ap    | e     | bt1   | bt2   | bt3   | bc     | c
0-16  | 16-25 | 25-40 | 40-65 | 65-83 | 83-110 | 110    +
4.47  | 2.4   | 0.97  | 0.59  | 0.57  | 0.36   | 0.33
2.59  | 1.39  | 0.56  | 0.34  | 0.33  | 0.21   | 0.19
0.210 | 0.092 | 0.051 | 0.051 | 0.047 | 0.049  | 0.030
12    | 15    | 11    | 7     | 7     | 4      | 6
23.8  | 20.7  | 29.9  | 37.8  | 53.9  | 30.3   | 24.8
43.6  | 45.2  | 35.8  | 33.6  | 25.6  | 41.9   | 41
100   | 100   | 100   | 100   | 100   | 100    | 100
23.6  | 24.2  | 19.1  | 16.9  | 12.3  | 24.3   | 23.5
14.2  | 14.4  | 14.2  | 12.34 | 9.3   | 15.3   | 16.4
15.7  | 17.1  | 17.1  | 13.8  | 9.4   | 11.1   | 15.4
2.4   | 2.5   | 2.7   | 2.3   | 1.6   | 1.3    | 2.2
0.2   | 0.2   | 0.3   | 0.2   | 0.2   | 0.1    | 0.2
0.02  | 0.06  | -.-   | 0.06  | -.-   | -.-    | -.-
-.-   | -.-   | -.-   | -.-   | -.-   | -.-    | -.-
-     | -     | -     | -     | -     | -      |
619   | 657   | 426   | 328   | 304   | 583    | 486
4.8   | 6.3   | 7.2   | 7.3   | 7.3   | 7.5    | 7.6
4.7   | 6.4   | 7.3   | 7.3   | 7.3   | 7.7    | 7.9
4.7   | 5.8   | 6.3   | 6.3   | 6.3   | 6.8    | 7.0
7.79  | 9.52  | 10.81 | 16.01 | -.-   | 15.79  | 13.41
1.81  | 1.44  | 1.82  | 2.05  | -     | 3.90   | 0.54
0.46  | 0.70  | 1.22  | 1.2   | 2.32  | 1.45   | 1.22
0.24  | 0.21  | 0.42  | 0.76  | 1.21  | 1.21   | 1.06
5.50  | 2.50  | 2     | 1.5   | 1.5   | 1      | 1
2.91  | 4.82  | 7.22  | 6.3   | 9.96  | 6.56   | 6.33
15.81 | 14.51 | 16.90 | 19.06 | 23.29 | 22.09  | 19.28
15.80 | 14.37 | 16.27 | 21.52 | 5.03  | 23.35  | 17.23
100   | 99    | 96    | 113   | -.-   | 126    | 89
