ap    | ac    | c1     | 2c2     | 2c3     | 3c4
0-25  | 25-55 | 55-105 | 105-150 | 150-170 | 170    -  +
0.72  | 0.43  | 0.28   | 0.21    | 0.28    | 0.03
0.42  | 0.25  | 0.16   | 0.12    | 0.16    | 0.02
0.047 | 0.045 | 0.042  | 0.043   | 0.05    | 0.03
9     | 6     | 4      | 3       | 3       | 1
9.8   | 10.7  | 13.1   | 20.6    | 21.8    | 15.4
14.0  | 15.1  | 14.2   | 14.6    | 15.2    | 12.8
100.2 | 99.9  | 100.0  | 100.1   | 100.0   | 100.0
7.13  | 6.38  | 6.375  | 5.845   | 6.175   | 4.94
9.1   | 10.9  | 9.6    | 9.1     | 9.2     | 9.4
57.6  | 55.2  | 54.7   | 47.5    | 46.3    | 53.9
9.5   | 8.0   | 8.3    | 8.1     | 7.5     | 8.4
0.1   | 0.1   | 0.1    | 0.1     | 0.0     | 0.1
0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0
0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0
----- | ----- | -----  | -----   | -----   | -----
19627 | 16528 | 10330  | 2221    | 4442    | 5580
5.6   | 5.4   | 5.4    | 5.6     | 5.5     | 5.9
5.2   | 5.2   | 5.3    | 5.7     | 5.6     | 5.7
4.7   | 4.7   | 4.7    | 4.8     | 4.6     | 5.0
2.1   | 2.1   | 2.5    | 4.7     | 5.1     | 4.2
0.7   | 0.0   | 0.0    | 1.1     | 1.4     | 0.7
0.2   | 0.2   | 0.2    | 0.7     | 0.2     | 0.9
0.2   | 0.1   | 0.1    | 0.2     | 0.2     | 0.2
2.0   | 1.7   | 1.3    | 2.0     | 2.3     | 1.3
2.4   | 2.6   | 2.3    | 8.2     | 2.6     | 8.8
7.6   | 9.1   | 10.6   | 8.7     | 9.3     | 10.2
3.2   | 2.5   | 2.9    | 6.6     | 7.0     | 6.0
42    | 27    | 27     | 76      | 74      | 59
